,keysentence
1,언론개혁이 문제!!!부동산문제도 ‥ 언론이 현정부를 무능으로 몰고있다생각함
2,이준석 내일모레 40살먹는 30대 극후반 남자로서 지지합니다. 나중에 40대초반을 위한 정책도 제시해주시면 더 감사합니다
3,남녀 평등 떠나서 다른나라는 여자 군대 안가는데 우리나라에서 여자도 군대가라고 하면 다른 나라 갈래ㄷㄷㄷ
4,신전대협...화이팅...젊은이들과 우린국민모두의 삶을짓밟아넣은 문정권4년...히루빨리 대한민국을되살리는..거대한물결이 되어주길....
5,정치초단님 반가워요 항상 좋은 말씀을 참엉망이다 정치일 확실게댜.ㅅ
6,보호 안해줘도 돼 어차피 지금까지 해준것도 없잖아해준거 없으니 세금도 뜯어가지마뭘 해준게 있다고 세금을 뜯어가
7,민주당 사람들도 친문친문거리는데 실체가 없다는 소리는 먼 개소리냐?지건 마렵네
8,왜 방송국들이 은성수 비난쪽으로 방향을 틀었을까?그기 근무자도 비트코인을 많이하고피해를 봤기 때문일거다 ㅎㅎ
9,다음 대선은 머 보수쪽에서 100% 나오겠지만 보수는 이걸 교훈삼아앞으로 잘해야 할거다 나도 ㅅㅂ 이번엔 꼭 투표한다 그리고 사회자진행 깔끔하네
10,계속 조국님을 위해 주세요  조국씨가 잘못했어며  국회인간들은뒤조사 하며  죄가 더많을 껄요얼굴에 껍질 뺏기며 다있을걸요
