,keysentence
0,윤호중 원내대표  언론개혁 화이팅 후임 법사위원장 최강욱 의원 화이팅 희망
1,여야 답없습니다 허파 허경영의 정책이 실현되는 시대가 오기를 고대합니다  허경영 적극 지지합니다
2,이준석이 장경태 보다 백만배 낫지 경태야 조국 심 유죄판결난 것 어떻게 생각하냐고 묻는말에 대답하라고 헛소리하지 말고
3,그런건국민들이판단할건데이사람 안되 저사람은 안되 철회해라 이래라 저래라좀 하지마라 ㅋㅋㅋ
4,윤칼새님 정확하신 말씀 귀에 쏙 들어오게 말씀 잘하시네요 이런분이 진짜 애국자십니다 능력 되시는분들 이런분 후원좀 많이 해주세요 항상 응원합니다
5,대깨문은 지키고 중도를 공략하는데 그 것도 지역 주의에 기초해서 공략하겠다는 정치공학적 발상 토 나오지
6,끼리끼리 잘도 해먹는다 문가인사 는 사회 주의 사상에 심취한자 운동권 출신들 만 기용하니 나라가 개 판이지
7,백신국조라 김기현이가 제대로 미친건가 니들이 잘해서 보궐선거 이긴것 같냐 이샠키들은 표좀 받으면 다가진것처럼 행동하니 참으로 어이가 없다
8,코로나 대선에 마출려고 이 정부 고생하는거아닌가
9,노무현 측근들 이제 그만좀해라지겹다부동산 폭등 세력으로 밖에 안보임
