,keysentence
0,근혜가 못한거 같아 문재인을 밀어주었지만 역시나 나라일은 진보가 그나마 잘한다는걸 국민이 알아차린게지 전체적으로 놓고 볼땐
1,토지공개념이 우선하는 거지 토지나 부동산으로의 불로소득은 전무하도록 만들어야함 절대 부동산으로 돈 벌 수 없다는 경험을 하도록 해야됨
2,대한민국의 보수는 진정한 보수는 김대중 뿐 이었다그들은 보수를 가장한 수구친일일 뿐이다
3,군법무관에게 로마군대의 데키마래군기가 극도로 빠지면 추춤으로 명 중 명을 뽑아 동료들이 몽둥이로 때져죽이는 형벌를 실시해야겠다
4,일자리와 경제를 시원하게 말아드신 민주당 빼고 선거 검찰개혁 해도 민초의 목구멍에 아무런 도움이
5,땅으로 좀 그만 투자해젊은 사람들만 죽어나간다
6,규제지역 묶을생각 하지말고 내부단속이나 잘 해라 지지층들이 얼마나 돌아섰는지 감이 잘 안오지 
7,지인이 아직도 대깨문 탈출 못했으면 관계 끊어라 가 도 안 되면 그게 사람이냐 가망이 없다아니면 ㅈ선족이겠지
8,그냥 소유하고있으면 세금을 내라고 농사짓다 부자되는사람 이제 못보겠네
9,독자 영업정책 실패가진짜 한겨레 적폐다ㅋㅋㅋㅋㅋㅋㅋㅋ
