,keysentence
0,국민 눈귀를 막는   언론개혁을  해야 합니다 거대 언론들이 자기들 입맛에   맞게 하는 언론은 개혁을 해야  나라  정의가 바로 섭니다
1,마음 안떠났어요문정부이니 이정도 지키고 있는거라고생각합니다자한당 집권했으면 코로나도 경제도 거덜났을거예요믿고 여전히 지지합니다
2,미친 소리를 많이 해서 나중에 정신 이상을 주장하여 빵에 안 가려는 준비과정일수도 있다
3,별로 중요하지 않은민주당이 부동산정책으로 말아먹어도 국짐당이나 검찰깡패는 아니지싶네요
4,땅투기집투기빈부격차극우의원조들의정권부활에 와 늙은이들이 날뛰고 있으니관연 니들에게 그렇게 좋은날 오나 볼것이다
5,누가 불 러똥구멍 뒤로 빼고  걷는 휘젓고 다니는  추한여자누가부른데안불 러  너한번도  격어보지  못 한  사람 이부른데ㅡ
6,언알바님 늘 희망의 방송으로 우리 서민들에게 힘이 되주셔서 감사드립니다
7,진보든 보수든 상관없이 기자는 기자답게 기사를 쓰면 합니다위 기사는 정치인이 쓴듯
8,안녕하세요 늘 수고가 많으십니다 화이팅 응원합니다
9,여러분들 추미애가 대선후보나오면 저는 더 좋습니다 확실하자나요ㅋㅋㅋ민주당패망
