,keysentence
0,최감사원장이 다음대통령감으로 지지응원합니다애국국민여러분의 생각은 어떠하십니까동감하시면 댓글로 응원해주시기바랍니다
1,조국이 진보와 문정권의 민낯이면이명박근혜는 홍의원님의 민낯입니까무슨 기준을 비교해도 보수만큼 할까요도둑놈들이 좀도둑을 보고 욕을하는격이네요
2,저번대선때도 뽑을 사람이 한명만 있었는데이때는 좌파때문은 안 뽑음 현재는 문때문에 우파가 되서 나라일 잘한 사람은 뽑겠습니다
3,정치인은 막말이 아니라 거짓말을 하면 안되는거고 막말어도 진실하고 올바른 말이 백배 낳다
4,홍준표님잘하고계십니다저는년만 예 처음으로ㅣ년동안장사안되는것처럼처음봤어요 너무나어굴합니다속시원하게말씀해주세요화이팅
5,주적은 북한 부적은 중공 러시아 일본  그리고 종북세력
6,선거 한번 이겼다고 다사 제미친 국짐세상인양 정신 못차리는 미친 국짐
7,번이나 성형수술한 문재인표 부동산정책 실패가 민심을 분노케 했다 코로나만 없었어도 전국이 횃불로 휘감았을텐데
8,진정한 언론인 성창경 최고해설 방송 구독 합시다
9,중국인들 년거주하면 투표권주는거 엾애고 백신이나 빨리 가져오세요헛돈쓰지말고
