,keysentence
0,검찰개혁 언론개혁 뭐시라 국민의 가 지지한다고 어느 나라 국민 얘기냐 추미애가 했던 게 검찰개혁완전 개혓바닥질 아녔나
1,군가산점은 남여 성평등에 문제가 되고여성 할당제는 성평등에 기여한다민주당 생각 잘 들었구요대선때 봅시다
2,왜 서울시장 보궐선거 해야하는지 왜 부동산은 약속대로 년전으로 돌아갈수 없는지 왜 조국처럼 뻔한 거짓말을 일삼아도 공정사회라 하는지 쩝
3,아직도 정신 못 차렸네 ㅋㅋ아니 우리가 페미가 싫다니까 페미 척결이 전제조건이 되어야 그 뒤에 정책을 보는거예요 이사람아
4,대 대 남자들 지들이 여자들 등쳐먹고 왜 한테 희생을 강요하냐 지들이 젊었을때는 이득 봐놓고 이제 그걸 이 보상하라고 ㅈ까지 말고 니들이 보상해
5,이준석 정치연륜이 뭐가있다고 이렇게 나와서 이야기를 많이 하고 다니나
6,이재정의원님 늘 소신 사이다발언 최고입니다 늘 화이팅 응원합니다
7,오세훈이 초등학생 급식 주는 것에 반대한 것은 분명히 기억합니다 이제 학교급식은 진보보수를 떠나서 상식인데 그런 혜안이 오세훈에게는 없습니다
8,민심이 바뀐이유중 몇가지중 편파적인 어용방송으로 전락한 의 책임이크다정부와 한몸통이니 투표로 본때를 보여준것 명심해야할것 
9,다수의 대 남성의 목소리를 일베이렇게 몰아가네 끝났다
