,keysentence
0,눈뜨면 검찰개혁  언론개혁 논하기전에정치인개개인과 정치부터개혁의대상이다여야 진보 보수를떠나국민을바로알고국민을섬기는자세를보여라
1,아니 집안 단속도 못하는 인간이어찌 나라를 어처구니가 없네지지하는 사람들도 먼 생각으로걍 민주당이 싫어서
2,어제 서연 수익 감사합니다 오늘 알람이 안떠서 라이브를 놓쳤네요 오늘도 좋은 정보 영상 감사합니다
3,임대아파트를 많이건설해야부동산값은 자연히해결된다
4,미국 일본 이탈하고 중국 북한과 연합하려는 민주투기당의 사회주의정책 실패
5,  세월호 과거사코로나 백신 남북문제쑈할 재료가 너무 만어 나도 대텅 할수 잇것다
6,표창장이  전정권부패보다 심한가요표창장이 장모 잔고증명서억으로 사기치고동업자 감방보내고돈뺏고그것보더 나쁜건가요극우들 계산법 희안하넹ㅋㅋㅋ
7,둘다 인상이 왜그러냐  에휴투표하기 싫다 이러기 첨이네누굴 뽑아도 불안할거같다둘다 자기관리나 잘하고 대선을 나오던지 웃을줄도 모르는 인상들
8,민주당 또수박들이 딴지를거느거야죽쓰서 개주는거냐개소리 하지말고 예기 반대한다
9,이해찬이 주고간 석이란 유산을 물려받고도 일을 이따위 한 이낙연은 인간도 아닙니다 민주당 의원들 앞으로 정신 똑바로 차리지 않으면 얼치기 됩니다
