,keysentence
0,미국 일본 이탈하고 중국 북한과 연합하려는 민주투기당의 사회주의정책 실패
1,문재인이 죽어도 영원히 따라다닐 꼬리표  부동산폭등 페미 남녀갈등 세금인상 인플레이션  한번도경험하지못한나라
2,썩어빠진것들이것들은 양치기야 정세균 안보이네 백신코로나 책임진다더니 또거짖말
3,동네교회는요 우리동네교회도일동앉자들이얼마나많이모였는지차가대는족히되겠구만
4,아주 지멋대로 사는구나 세균  대정부질문 도 안받고 도망가냐 근데 대선엘 나온다고   국민을 졸로보는구나
5,조국에게 마음의 빗 없다는 분마눌님 그림은 비싸고 싸서 공공기관에 떡허니 걸고언론은 알고도 모르쇠 이쯤되면민주당사람 아닌가
6,사회 초년생 억지원하면 년생 년생은 얼마 지원 할건데요그러지 말고 찐짜 로 생각한다면 당신 돈으로 펀드 조성해 주세요
7,낡은 정치  낡은 전략을 버리고불공정 불평등과싸우겠다는청년 젊은 지도자인 박용진을 지지합니다
8,박기자님 오늘도 좋은방송 잘보고 갑니다 항상 감사합니다
9,윤석렬이 도로한국당에만안들어간다면 뾰쪽한 대안이 없으니 한번밀어서정권교체 합시다
