,keysentence
0,나라를 그렇게 만든 역적들 때문에 국민들의 얼굴이 화끈거린다 알겠느냐 다음세기에 이완용과 같은 대열에 올라 갈 사람들
1,늘 재미 있고 소신있는 계몽에 감사 합니다정치는 소신을 설득한다는 생각에 전적으로  찬성합니다계속 좋은 말씀 부탁합니다
2,조수진의원 자진사퇴하라 건방이 하늘을 찌른다 의원자격 박탈 하라진정한 언론은 김어준뉴스공장 딱하나
3,중도 중도하다 이대로가면 보수가 등돌린다 국힘당 초선들아 인물보는눈이 나보다 못하냐
4,말같지  않는 소리 작작해라검찰개혁이 제대로 뭔지나 알고 지꺼려라무지랭이정신차려라
5,하고싶으면하는거지 뭐가 문제고 그걸 왜 상관하나 냄새나는 놈들이 걱정하는거지
6,정청래김남국을 뽑아준 마포을안산단원 유권자분들이 창피하지 않나요 그지역에 대깨문들이 많이 사나요
7,미친 것들  자기들  선거에 이용해 놓고 이제는 나몰라라하는 국개들  한심하다
8,좌클릭이 아니고 폭넓은 지지층 확보에 주력하는거다 안목이 좁은거니 일부러 흠집내기하려는거니 기레기라는 말이 왜 나오는지 알겠다
9,과거 행실을 보면  앞이 보이고 역사를  알아야  미래가 보인다
