,keysentence
0,그당 정치인들 정권위해 청년매도 인생유용 무책임 정책 그대로 나오네요  나라의 현재와 미래를 폐기하면서 
1,기존 이낙연 민주당이 개혁을 제대로 했던가신속한 검찰개혁 언론개혁 부동산개혁 못했기 때문에 그런 것이다선별지급 같은 무능이 문제였음
2,그냥 웃긴다 ㅎㅎㅎㅎ이런 넘이 후보 ㅋㅋㅋ조금 있으면 교도소갈 놈이다보수들은 아무 생각 없다현 정부와 각을 세우면 무조건 지지 한다
3,어이 이씨들국민세금 건들지말고 니들 돈으로줘봐지들 돈 아니라고 막 지르는구나
4,이준석 핸드폰 붙잡고 딴짓 겁나 하네 다른 토론자로 바꿔라 안 바쁘고 태도 좋은 사람으로
5,북한 좋아하는 더불당 대깨문은 북한가고 일본 좋아하는  국힘당은 일본가라 그럼 대한민국은 배는 살기 좋아질거다
6,지금까지 비방글 많이 올렸는데 오늘방송은 우수하고 제대로 하는것 갔슴다 만 비하는 방송은  째금만더 고려해 주십쇼
7,제보공장님 말씀에 백프로 동감하고힘이 되어 주셔서 감사합니다 화이팅
8,정신 차려라 민심은 하루 아침에 변한다 석 표로 밀어 부치니 이꼬라지 났잖아 조추박으로 이어지면 내년 대선은 안봐도ㅎㅎㅎ
9,얼마전 미국에 있는 친구한테 들었는데 미국에선 코로나로 직장을 잃으면 월 만원 정도의 지원금으로  생계를 보전해준다고 합니다
