,제목,날짜,작성일,작성자,댓글
0,총리 후보에 '비주류' 김부겸…5개 부처 장관도 교체,2021-04-16 19:51:00,2021-04-17 01:42:28,b***1,"비주류라고 언론들이 엄청 강조하는데, 비주류면 일을 잘하나? 그 논리는 어디서 나오는 건지? 비주류면 국민을 위해서 일하고 주류는 권력을 위해서 일하나? 그럼 윤석렬은 주류였나 비주류였나? 그래서 기레기나 기더기라는 소리 듣는 거다"
1,총리 후보에 '비주류' 김부겸…5개 부처 장관도 교체,2021-04-16 19:51:00,2021-04-17 00:48:02,이***홍,"인사가 만사라는 데 인사 참 더럽게 하고 있다,"
2,개각·청와대 개편 임박…후임 총리에 김부겸·유은혜 거론,2021-04-15 19:50:00,2021-04-16 06:45:35,f***7,청와대 이력 만들고 한탕 해먹고 책임안지고 튀고 다시또 들어와 청와대 이력만들고 한탕해먹고 책임안지고 튀고 몇년후 잠잠해지면 그 청와대 했던 이력만 남아 ㅋ 그것같고 정계 들어와 다시 정치하고 ㅋㅋ 우파때는 처벌받고 책임이라도 졌지 이것들은 진짜 나쁜놈들이다.
3,개각·청와대 개편 임박…후임 총리에 김부겸·유은혜 거론,2021-04-15 19:50:00,2021-04-16 04:02:12,n***k,너무나 박역이 잘되어 맏지를 못하는 보건소 방송국들
4,개각·청와대 개편 임박…후임 총리에 김부겸·유은혜 거론,2021-04-15 19:50:00,2021-04-16 03:55:49,n***k,"감염자 치료 반대하는 전주 보건소 한심해요

천하종합 주식회사 호흡기질환 연구소
전라북도 정읍시 산외면 죽동길 95 대표전화 : 1599-1545, 팩스 : 0303-0944-1888
Cheon ha General Co., Ltd. Respiratory system disease laboratory.
95, Jukdong-gil, Sanoe-myeon, Jeongeup-si, Jeollabuk-do korea
E-mail : gomsek@gomsek.co.kr , http://www.kogori.co.kr
.............................................................................................................................

천하종합 공문 : 2021-04-1호

수신 : 코로나 19 방역 방역본부와 기관장 및 공무원

제목 : 코로나 확산 뚝, 공무원들 행복 시작, 국민 행복희망
<코로나 K-방역으로 수고가 많습니다. 현대의학은 예방불가>

가. 코로나 19 방역이 종식이 안 되는 이유?

1. 코로나바이러스는 비강 내 점막 상기도 점막에서 서식하여 약이나 주사약이 예방 불가함.
2. 전 세계가 감기 독감 예방약이 없고 코로나 19 확산으로 200만 명 이상 사망했습니다.
3. 백신을 개발해도 새로운 바이러스가 발생하여 코바기 (코고리)가 27년간 세계에 없는 호흡기질환을 예방차단 치료를 해도 의료기기등록을 할 수 없어 채택이 안 돼 종식할 수 없습니다.

나. 대한민국은 호흡기질환을 예방 및 종식할 수 있습니다.

1. 27년간 의료기기법으로 인증기관이 없어 코고리 (코바기)가 채택이 안 돼 전 세계 1억 명이 넘는 의학박사들이 고정관념으로 코바기 발명가를 무시하고 정부기 관장들이 탁상 공론으로 인증을 못해주고 허위로 보급 제재하여 언론사들이 허위보도하여 확산하고 있고 27년간 의료기기 허가를 못해준 의료기기법을 새로운규정을 착안하여 부작용이 없고 안전성을 획득한 kogori를 코바기 법을 활성화하여 코로나 19 등 호흡기질환을 예방 치료 하여야 한다.


2.코바기는 비강 확장기 의료기기로 허가받은 코골이 방지 기구이지만 제조방법이 광물질을 혼합성형하여 개발 27년을 앞서온 제품으로 세균 박테리아 등 항균탈취 작용 99.9% 효과 기능으로 보급해 오면서 부작용이 없고 감기 독감 비염 축농증 코골이 완화 사스 신종플루 메르스 코로나 등 모든 호흡기질환을 예방차단 퇴치 치료해 왔습니다.
3. 각 기관들은 코로나19확산으로 감염자 및 감염 위험자들을 파악하여 코바기 사용 희망자를 조사하여 답변 주시기 바랍니다. 코바기 착용 희망단체는 선착순 가능한 인원은 기증합니다.

다. K-방역이 종식 못 하는 코로나 19를 코바기법으로 종식 제안 하오니 방역 기관장들은 답변 주시기 바람니다.

1. 노이즈 마케팅으로 코고리 코바기가 코로나퇴치로 홍보하여 식약처 감시과 공정거래 위원회 등 기관들이 효과를 제공해도 허위로 효과 없다. 허위 광고다고 발표하여 국민이 오해하여 코로나가 퍼지고 있으니 27년간 보급하여 부작용도 없고 효과를 못 본 사람이 없으니 발명가의 경험으로 호흡기질환을 종식하도록 모든 기관들이 탁상공론만 하지 말고 방송 신문을 신뢰하지 마시고 사실을 폭로하는 발명가를 믿어 주시고 하루라도 빨리 코로나를 종식하여 행복한 국가를 만들도록 적극적으로 코로나를 종식하여 모두가 행복한 생활을하도록 노력하여 답변을 조속히 주시기 바랍니다.

첨부1 : 코바기 사용자 사실확인서 효과 데이터
첨부2 : 코바기 방역법.
첨부3 : 질병 관리청 민원 제기 및 답변

2021.03.29
천하종합 주식회사 발명가 한 기언 인







첨부 1 : 코바기 사용자 사실확인서 효과 데이터

















첨부2 : 코바기 방역법


코로나 19 및 호흡기질환 종식 선언 코바기 방역법 재청

내용 : 천하종합　코바기　방역법　발표.
코바기로　코로"
5,"[JTBC 여론조사] 개각에 대한 여론 평가, 긍정 44.3% vs 부정 41.8%",2021-04-19 19:52:00,2021-04-25 04:41:20,n***k,"어이 없는 방역으로 국민의 피가 세어 나간다

전세계가 호흡기질환 예방약이나 기구가 없습니다.
그러나 천하종합 코고리 (kogori) 가 최초로 현제까지 1996년부터 모든 호흡기질환을 예방했습니다.

코고리는 감기 독감 사스 신종플루 메르스 코로나 등 사용자는 감염자가 없습니다,

세계가 전염병 ( 사스, 신종플루, 메르스, 코로나, 감기, 독감, 비염 등 )유행할 때 예방으로 보급하여 성공한 코고리 (코바기) 코마스크 안심 마스크가 21세기 역사에 기록됩니다.

사스, 신종플루, 메르스, 코로나 19 유행 시 보급하여 감염자 없고 호흡기질환에 도움을 준
코바기가 생명을 구하고 경제를 살리기 위하여 27년을 앞서가니 현대인들이 저 선량을 방사하여 세균 바이러스 박테리아 등 항균작용을 한다고 해도 이해를 못 하고 어이없는 수많은 기관과 의사 언론사가 비판해도 코바기 (코고리) 사용자는 감염자가 없고 감기 독감 비염 코골이 등 모두가 좋다고 구매하고 있습니다.
코바기/코고리는 착용자들은 호흡기질환을 예방 및 치료에 도움을 준다는 것은 모두가 칭찬하고 있고 생명과 경제를 살리는 호흡기관 파수꾼 역할을 하고 있습니다.
코바기가 2020.02월경 3일 안으로 무료로 기증하여 우리나라는 코로나를 종식 시켜 준다고 방역 당국에 약속하였으나 방역 당국이 보급을 거부하고 보건소나 의사들이 사용 못 하게 방해하여 1년이 넘도록 퍼지고 있습니다. 코바기가 보급되면 3일이면 호흡기질환은 종식됩니다.
부작용이 없고 좋은 공기를 항시 공급하여 건강에 도움을 줍니다.
모든 사람을 살리고 경제를 살리며 모두가 행복하게 웃으면서 살 수 있도록 코바기 가 호소 합니다.
코고리 코바기 역사 이루어 진다"
6,[JTBC 여론조사] 조금 더 벌어진 윤석열-이재명 지지율 격차...개각 후 민심은?,2021-04-19 19:24:00,2021-04-19 20:15:38,원***리,"선거 끝나니까. LH 얘기 쏙 들어가고. 매일매일 부동산 폭등. 폭등. 전세난민. 이라더만..
요샌 오세훈 효과? 부동산 상승세.

폭등폭등 외치던 새키들이.. 왜 갑자기 부동산 상승세라고 순화시켜서 기사를 써?"
7,"[인터뷰] 김종인 ""대선 의지 비춘 안철수, 정권교체 장애요인 될 수도""",2021-03-24 21:35:00,2021-03-25 07:50:49,c***2,벌써.. 안철수 팽 시킬라고 준비하네.. 철수야..세상 사람 다 믿어도..저 왜구들은 믿지마라.. 뭐 근데 너도 그쪽 출신이라 왜구의 피가 흐르는 거 같더구만... 니 눈엔 이명박 박근혜 떨거지들이 정권을 잡아야 세상이 좋아 지곘니... 그게 니가 생각하는 중도야? 그래서 너를 초딩이라 하는거야... 고향가서 형준이나 뽑아라.. 열라 해 쳐 먹게...
8,"[인터뷰] 김종인 ""대선 의지 비춘 안철수, 정권교체 장애요인 될 수도""",2021-03-24 21:35:00,2021-03-25 04:54:50,경정***,왜 이런사람을 취재해서 의견묻고 그래? 제발 4월8일에 예정대로 물러나서 다시는 나오지마라
9,"주호영·안철수 ""당 대 당 통합""…나경원, 황교안과 '선 긋기'",2021-04-29 19:27:00,2021-04-30 07:15:09,c***2,경원아... 너랑 교활이간 뭘 했는지 다 아는데.... 아베 오빠는 잘 있니?
10,"[비하인드+] ""건방지게"" 김종인, 안철수 향해 퍼부은 독설…왜",2021-04-11 20:07:00,2021-04-12 22:47:15,박***안,철수가 토사구팽 당산거같네
11,"[비하인드+] ""건방지게"" 김종인, 안철수 향해 퍼부은 독설…왜",2021-04-11 20:07:00,2021-04-12 14:25:11,k***e,어서 집에가서 손주나 보시오....
12,"[비하인드+] ""건방지게"" 김종인, 안철수 향해 퍼부은 독설…왜",2021-04-11 20:07:00,2021-04-12 11:55:39,장***중,"깜도 안되는 정치인들끼로 서로 잘났다고 싸우니...
우습구먼"
13,안철수 또 '합당'?…DJP연합부터 통진당까지 '통합의 역사'｜뉴스 행간읽기,2021-04-19 14:41:00,2021-04-19 16:01:14,l***l,엠엔에이 전문가네.
14,"""남북통일도 하는데"" ""윤석열도 오는데""… 홍준표 복당 놓고 '와글와글'",2021-05-11 11:40:00,2021-05-11 11:48:36,c***2,얼른 받아라.. 저 발정제 오면.. 니들 폭망이니... ㅋㅋㅋ
15,"윤석열의 길어지는 '침묵과 잠행'...국힘서도 ""합류 어려울 듯""",2021-05-07 11:56:00,2021-05-07 15:00:44,i***4,"( 이슬람의 진실을 밝히는 증거 )

https://k1438.blogspot.kr/2016/12/blog-post.html

I======l

((( ""삶의 의미"" )))


https://youtu.be/NFJHyCau5v8


000000
-----"
16,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-13 07:40:58,동***이,인터넷 신문은 날짜와 시간외에는 믿을게 없댜는데(드라마에 나와)
17,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-13 05:58:14,c***2,"선호도가 딱 ... 어느 지역 인구 비율이네.. 저런 범죄자 집안 인간들도 대통령 될 수 있는 지역... 이번에, 그 지역 시장 뽑은거 봐라..!! 온갖 잡질로 돈만 챙기던 놈이나 뽑고.. 참, 저 지역 수준은 어떻게 하니... 박정희 전두환이 독재의 단물만 빨던 인간들... 싸나이? 개가 웃는다.."
18,[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,2021-04-13 02:08:53,f***7,밑에 대깨들 논리가 없노 윤석열 일개 검사였는데 우파 세력과 전직대통령 두명과 깜빵넣은 공으로 검찰총장 낙하산으로 꼽아주고 키워준게 문재인이란걸 모르나? 대가리에 두부만 들었나 ㅋ 대깨들 풉 일개 검사가 대통령감이 아니라고? 그럼 경희대정도 나와데모 흉내내다 변호사 하던 문재인은 대통령 감이야? ㅋ 사시패스도 검사 커트라인이 변호사 보다 위이고 학벌도 위이고 문재인덕에 총장까지 했는데?대깨들때문에 국민이 정신차리네 ㅋ 대깨들화이팅
