제목,날짜,작성자,작성일,댓글
"[인터뷰] 김종인 ""대선 의지 비춘 안철수, 정권교체 장애요인 될 수도""",2021-03-24 21:35:00,c***2,2021-03-25 07:50:49,벌써.. 안철수 팽 시킬라고 준비하네.. 철수야..세상 사람 다 믿어도..저 왜구들은 믿지마라.. 뭐 근데 너도 그쪽 출신이라 왜구의 피가 흐르는 거 같더구만... 니 눈엔 이명박 박근혜 떨거지들이 정권을 잡아야 세상이 좋아 지곘니... 그게 니가 생각하는 중도야? 그래서 너를 초딩이라 하는거야... 고향가서 형준이나 뽑아라.. 열라 해 쳐 먹게...
"[인터뷰] 김종인 ""대선 의지 비춘 안철수, 정권교체 장애요인 될 수도""",2021-03-24 21:35:00,경정***,2021-03-25 04:54:50,왜 이런사람을 취재해서 의견묻고 그래? 제발 4월8일에 예정대로 물러나서 다시는 나오지마라
"주호영·안철수 ""당 대 당 통합""…나경원, 황교안과 '선 긋기'",2021-04-29 19:27:00,c***2,2021-04-30 07:15:09,경원아... 너랑 교활이간 뭘 했는지 다 아는데.... 아베 오빠는 잘 있니?
"[비하인드+] ""건방지게"" 김종인, 안철수 향해 퍼부은 독설…왜",2021-04-11 20:07:00,박***안,2021-04-12 22:47:15,철수가 토사구팽 당산거같네
"[비하인드+] ""건방지게"" 김종인, 안철수 향해 퍼부은 독설…왜",2021-04-11 20:07:00,k***e,2021-04-12 14:25:11,어서 집에가서 손주나 보시오....
"[비하인드+] ""건방지게"" 김종인, 안철수 향해 퍼부은 독설…왜",2021-04-11 20:07:00,장***중,2021-04-12 11:55:39,"깜도 안되는 정치인들끼로 서로 잘났다고 싸우니...
우습구먼"
안철수 또 '합당'?…DJP연합부터 통진당까지 '통합의 역사'｜뉴스 행간읽기,2021-04-19 14:41:00,l***l,2021-04-19 16:01:14,엠엔에이 전문가네.
"""남북통일도 하는데"" ""윤석열도 오는데""… 홍준표 복당 놓고 '와글와글'",2021-05-11 11:40:00,c***2,2021-05-11 11:48:36,얼른 받아라.. 저 발정제 오면.. 니들 폭망이니... ㅋㅋㅋ
"윤석열의 길어지는 '침묵과 잠행'...국힘서도 ""합류 어려울 듯""",2021-05-07 11:56:00,i***4,2021-05-07 15:00:44,"( 이슬람의 진실을 밝히는 증거 )

https://k1438.blogspot.kr/2016/12/blog-post.html

I======l

((( ""삶의 의미"" )))


https://youtu.be/NFJHyCau5v8


000000
-----"
[JTBC 여론조사] 대선주자 선호도 윤석열 36.3%…양자대결도 '여유',2021-04-12 19:52:00,동***이,2021-04-13 07:40:58,인터넷 신문은 날짜와 시간외에는 믿을게 없댜는데(드라마에 나와)
