제목,날짜,작성자,작성일,댓글
"박용진, 여권 첫 출사표…여야 대선주자들 채비 분주",2021-05-09 19:18:00,J***g,2021-05-10 15:45:28,"얜.. 유치원3법으로 적당~~히 눈도장 한번 찍더니.. 무슨 결론을 내긴했나..흐지부히 되지 않았나.?
그리곤 대뜸 대선? ...ㅡ.ㅡ;; 내 얼굴이 다 화끈거린다.."
"박용진, 여권 첫 출사표…여야 대선주자들 채비 분주",2021-05-09 19:18:00,장원***,2021-05-10 09:31:46,정의당 간 거 아니었어?
"박용진, 여권 첫 출사표…여야 대선주자들 채비 분주",2021-05-09 19:18:00,S***3,2021-05-10 08:17:26,"참나, 이 박가 놈은 왜 꼼지락대는지 모르겠어..ㅋㅋ
뭐 새로운 인물 어쩌구 저째? 넌 전혀 새롭거나 참신하지 않아.. 이 넘아..."
[비하인드+] 진중권 vs 김용민 '똘마니 논란' 소송 결말은,2021-04-25 20:19:00,c***2,2021-04-26 12:14:57,정치인도 아니고.. 학자도 아니고.. 그냥 그런 인간이... 사람들 관심 좀 받으려고 애쓴다.. 불쌍하다..
"'침묵' 청와대, 국정 운영 차질 우려…대선 국면 가나",2021-04-08 08:06:00,安***],2021-04-08 11:05:37,"누가 뭐래도 문제인 대통령님 덕분에 나라가 나라 다워 졌다.

국민모두가 과거를 잃으면 군사독재시대로 회계할수 있음을 명심 하시길..........."
"'침묵' 청와대, 국정 운영 차질 우려…대선 국면 가나",2021-04-08 08:06:00,d***8,2021-04-08 10:49:09,솔직히 LH는 어느당이 집권하던 터질문제였음.. 아직도 숨어있는 적폐가 있다. 없을 리가 없지. 앞으로 계속 적폐 없애나가자
"'침묵' 청와대, 국정 운영 차질 우려…대선 국면 가나",2021-04-08 08:06:00,安***],2021-04-08 10:37:16,"누가 뭐래도 문제인 대통령님 덕분에 나라가 나라 다워 졌다.

국민모두가 과거를 잃으면 군사독재시대로 회계할수 있음을 명심 하시길..........."
"'침묵' 청와대, 국정 운영 차질 우려…대선 국면 가나",2021-04-08 08:06:00,y***y,2021-04-08 09:43:17,현명한 국민이 정치 지도자들을 리드해야만 한다. 오만방자 & 불손한 여당의 태도에 대한 국민의 회초리다. 재보궐선거 결과를 보고 깨달고 국민의 눈 높이로 볼수있기를 바란다. 다시한번 정권을 잡고 싶다면 정부여당을 통렬한 자기반성의 자세로 취해야 할것이라 생각한다. 왜? 야당이 잘해서 표를준게 아니라 여당이 못해서 야당에 표를 준것이기 때문에!!
[비하인드+] 본격 표심 공략 나선 민주당…'이대남을 잡아라',2021-04-18 20:35:00,c***1,2021-04-19 12:50:05,"박용진 의원, 난 자네를 지금까지 지지해왔으나, 자네가 조국 장관에 대해 하는 말을 들어보면, 자네는 윤석열 패거리에 불과하네. 저들의 조작과 음모에 희생된, 검찰개혁과 나라를 위해 일해온 분을 네놈은 능멸하고, 네놈이 윤석열 꼬붕에 불과함을 스스로 인증했네. 네놈은 민주당 대통령 후보는 고사하고, 민주주의를 말할 자격도 없는 적폐세력의 얼굴마담이 되고 말았네. 썩어빠진 놈아, 모든 것 그만두고 민주당에서 나가라!!!"
대선 1년 앞둔 '전초전'…존재감 드러내는 '잠룡들',2021-03-27 19:30:00,y***6,2021-03-28 10:09:29,이번 서울 보선은 실패한 전서울 시장이 출마했음에도--국힘에 유리한것은 안철수와손을 잡고 선거에 임했고--둘째는 민주당의원 의 숫자로의 오만과독선이부른--부동산정책의 실패에 있다고 본다.
"[인터뷰] 김종인 ""대선 의지 비춘 안철수, 정권교체 장애요인 될 수도""",2021-03-24 21:35:00,c***2,2021-03-25 07:50:49,벌써.. 안철수 팽 시킬라고 준비하네.. 철수야..세상 사람 다 믿어도..저 왜구들은 믿지마라.. 뭐 근데 너도 그쪽 출신이라 왜구의 피가 흐르는 거 같더구만... 니 눈엔 이명박 박근혜 떨거지들이 정권을 잡아야 세상이 좋아 지곘니... 그게 니가 생각하는 중도야? 그래서 너를 초딩이라 하는거야... 고향가서 형준이나 뽑아라.. 열라 해 쳐 먹게...
"[인터뷰] 김종인 ""대선 의지 비춘 안철수, 정권교체 장애요인 될 수도""",2021-03-24 21:35:00,경정***,2021-03-25 04:54:50,왜 이런사람을 취재해서 의견묻고 그래? 제발 4월8일에 예정대로 물러나서 다시는 나오지마라
