제목,날짜,작성일,작성자,댓글
"강병원 “예수님, 부처님도 기독교·불교 장관 낙마할 듯”",2021-05-13 10:11:00,2021-05-14 08:11:00,kjm,"이런자가 국회의원이 되니 더불어민주당은
욕먹는게 당연한거고 국회의원 무보수로
해야한다.
비유할것을 비유해야지
예수님 부처님 이자 법정에 세워야합니다
하늘의 무간 지옥으로"
"강병원 “예수님, 부처님도 기독교·불교 장관 낙마할 듯”",2021-05-13 10:11:00,2021-05-13 17:39:00,1110****,당연히 낙마하겠지. 그들은 정치를 모르니까..
"강병원 “예수님, 부처님도 기독교·불교 장관 낙마할 듯”",2021-05-13 10:11:00,2021-05-13 15:56:00,가경동신문수,이사람 제 정신이 아니네..예수님과 부처님은 당신들 만큼 더럽지 않아..불법도 합법인양 말하지 마세요.
"강병원 “예수님, 부처님도 기독교·불교 장관 낙마할 듯”",2021-05-13 10:11:00,2021-05-13 15:49:00,yus,"이 녀석들이 어딜 함부로... 예수, 부처가 한가하게 한국에 외서 장관을 하리? 죄다 귀퉁이 떨어진 파치라 깡된장 뚝배기로도 안되겠더구만."
"강병원 “예수님, 부처님도 기독교·불교 장관 낙마할 듯”",2021-05-13 10:11:00,2021-05-13 14:18:00,h****,"아니 예수님이 뭐가 어때서 청문회도 통과 못하나...

이정도면 진짜 사자 명예훼손 아니냐?"
"강병원 “예수님, 부처님도 기독교·불교 장관 낙마할 듯”",2021-05-13 10:11:00,2021-05-13 17:40:00,1110****,@h**** 예수는 부활해서 하늘로 올라갔다는데 사자는무슨...ㅋ ㅋ
"강병원 “예수님, 부처님도 기독교·불교 장관 낙마할 듯”",2021-05-13 10:11:00,2021-05-13 14:06:00,불무코지,"그런데 말입니다, 단 예외는 있을 것이다, 전광훈과 최순실등이 장관 후보자가 된다면 국짐당은 찬성 할 걸..."
"강병원 “예수님, 부처님도 기독교·불교 장관 낙마할 듯”",2021-05-13 10:11:00,2021-05-13 13:48:00,yong506****,아직 정신 못 차렸다
"강병원 “예수님, 부처님도 기독교·불교 장관 낙마할 듯”",2021-05-13 10:11:00,2021-05-13 13:37:00,nbv,"탄핵 대통령 모시고 김학의사건 마무리전에 차관으로 모시던 분이
대선경쟁준비중인데

가족들이 사기혐의로 법정에 오가고 끝이 안보여도
입당해서 대선 준비하라는 국짐당

홍준표 황교안 윤석열까지라면 완전 검사판
황전도사와 전목사가 힘합치면 와!"
"강병원 “예수님, 부처님도 기독교·불교 장관 낙마할 듯”",2021-05-13 10:11:00,2021-05-13 13:28:00,아빠곰은 뚱뚱해,"기업체에서 임원이 될 사람은 과, 차장 때부터 관리한다.
전혀 관리 않고 막 산사람과 자질이 다르다.기본 원칙도 충족치 못한 사람들을 임원을 시키는 일은 식구들 외에는 없다."
