제목,날짜,작성일,작성자,댓글
"이태규 ""대선후보 선출에 안철수 빠지면 흥행 안 돼""",2021-04-19 10:24:00,2021-04-19 19:48:00,김성진,대선을 국민의 흥행물로 보나? 국가의 운명이 딸린 문제라 생각하는데!
"이태규 ""대선후보 선출에 안철수 빠지면 흥행 안 돼""",2021-04-19 10:24:00,2021-04-19 19:21:00,go****,"개나 돼지가 빠지면 흥행이 안 된다라는 말과 똑 같은 말이다.
보궐선거 전에 안철수는 합당하겠다고 했다.
지금은 당원의 허락이 필요하다고 한다.
이것이 안철수가 주장하는 새 정치의 본 모습이다.
일베충 토착왜구들과 조금도 다름없는 놈이니 이렇게 바뀌는 것이다."
"이태규 ""대선후보 선출에 안철수 빠지면 흥행 안 돼""",2021-04-19 10:24:00,2021-04-19 17:06:00,mhs****,"이제 헛 수고 , 조용히 철수...."
"이태규 ""대선후보 선출에 안철수 빠지면 흥행 안 돼""",2021-04-19 10:24:00,2021-04-19 16:45:00,nbv,"흡수가 되던 흡착이 되던
거기 가면 용광로 속에서 살아지는 구리철사다
어딘지 뭔지도 모르면서 대권?"
"이태규 ""대선후보 선출에 안철수 빠지면 흥행 안 돼""",2021-04-19 10:24:00,2021-04-19 15:22:00,정의와 공정,얼띠기 철수는 더 이상 국민을 피곤하게 하지 말고 특기인 한없이 달리기 밖에 없다.
"이태규 ""대선후보 선출에 안철수 빠지면 흥행 안 돼""",2021-04-19 10:24:00,2021-04-19 15:11:00,늘평,대선은 접었는데 빠지면 흥행이 안된다는 말은 무슨 헛소리?
"이태규 ""대선후보 선출에 안철수 빠지면 흥행 안 돼""",2021-04-19 10:24:00,2021-04-19 13:48:00,반가운이,"꼴랑 3석 가지고 100석이 넘는 국민의 짐히고
당대당 통합이라니... 지나가는 개가 웃겠다.
니가 아무리 떠들어도 흡수통합이거든.

지금은 국민의짐이 아쉬우니까 야권 대통합이니 뭐니
염병들 하지만 막상 거기로 들어가봐라.
너는 개밥에 도토리 신세. 꿈깨라.ㅋㅋㅋ

내년에 니가 국민의 짐 대통령 후보가 될것 같으냐?
에라이~~ 등신아!
네가 국민의짐으로 들어가는 순간 너의 정치생명은 끄~~~ㅌ."
"이태규 ""대선후보 선출에 안철수 빠지면 흥행 안 돼""",2021-04-19 10:24:00,2021-04-19 13:05:00,식민지 국민들,"철수야 이번이 마지막 기회이다,,,,, 이때까지 남 좋은일만 시켜주었지만,,,,??? 이번엔 그들을 역이용하여 니가 워놔는 세상을 만들어 보거라~~~ 진짜 이번엔 속으면 안된다!!!"
"이태규 ""대선후보 선출에 안철수 빠지면 흥행 안 돼""",2021-04-19 10:24:00,2021-04-19 12:59:00,공수래공수거,안초딩보다 옆에서 부추기는 니들이 더 나빠....팥고물이나 얻어먹을려고....ㅠㅠ
국민의당 지역위원장 공모…국민의힘 “통합 대비 알박기냐” 비판,2021-05-13 20:47:00,2021-05-14 11:55:00,식민지 국민들,"아~ 그리고,,,,, 얼마있으면 5.18??? 계엄군 사진과, 시민군이 맞는 사진만 년년간 보네지말고,,,, 시민군이 총으로 무장한 사진과, 왜???? 5.18이 발생하였는가도 형평성에 맞게 같이 보도해야, 경험못한 203040도 역사를 바르게 알제,,,, 안그냐???? 이거 원~ 민주랍시고 편향적인 보도만을 일삼으니….. 남쪽배가,,,,,, 한쪽으로 기울어지고 있지,,,,,??? 문재인의 돈넣고 돈먹는 부동산, 주식, 비트코인처럼................. 남쪽 역사를 투전판으로 보도하지 말란 말이제,,,,,"
