제목,날짜,작성일,작성자,댓글
박용진 대선출사표 “대한민국 변화 이끌어낼 자신 있다”,2021-05-09 14:16:00,2021-05-10 09:31:00,Harry Oh,"차라리 재명 낙연보다 참신하다.
변화할 가능성이 보이기 때문이다.
단 조건은 대깨문을 배제 하여야 한다.
변화 없이는 대선 승리는 요원하다."
박용진 대선출사표 “대한민국 변화 이끌어낼 자신 있다”,2021-05-09 14:16:00,2021-05-09 21:18:00,김순진,그냥 조선 방회장 아바타 아닌가?
박용진 대선출사표 “대한민국 변화 이끌어낼 자신 있다”,2021-05-09 14:16:00,2021-05-09 20:09:00,박만호,아직은 글쎄??
박용진 대선출사표 “대한민국 변화 이끌어낼 자신 있다”,2021-05-09 14:16:00,2021-05-09 19:24:00,ks****,우리나라 사람 맞아?
박용진 대선출사표 “대한민국 변화 이끌어낼 자신 있다”,2021-05-09 14:16:00,2021-05-09 18:09:00,야간비행,윤석열과 붙어 승리 가능성이 가장 높은 후보.
박용진 대선출사표 “대한민국 변화 이끌어낼 자신 있다”,2021-05-09 14:16:00,2021-05-09 16:30:00,토토와 프로토 픽분석,이나라가/// 말세다 말세 이석기 석방하라고 구치소 앝에서 외치던 그가 감히 대통령 이라니 에이 더럽다 이 나라가 정 말 어디로 가고 있나
박용진 대선출사표 “대한민국 변화 이끌어낼 자신 있다”,2021-05-09 14:16:00,2021-05-09 16:03:00,m****,"✔음, 좋은 서막을 올렸네. 이러한 친구들이 여.야에서 또한 일반 국민 속에서도 많이 나와 준다면 대한민국의 밝은 미래를 개척해 나갈 수 있을 텐데. 어쨋든, 좋아!"
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 22:28:00,-,웃음만 나네요...국민이 바보도 아니고...ㅎㅎㅎ 아무리 인물이 없어도..ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 22:04:00,hijoker****,"뭐라 할까. 한마디로 개소리라 보면 된다.
여론조사 그거 믿는 국민들이 아직도 있을까. 뻥이여~~~"
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 22:00:00,-,윤석열 대통령이 된다면.. 우리나라 다시 독재국가로 돌아가는것이지.. 생각만 해도 무섭네..
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 21:41:00,흐르는강,미얀마 사태를 보면서도 박정희 전두환 시절이 좋았더라고 하는 인간들이 있다. 그 사람들이 윤석렬을 대통령감이라고 지지한다. 의식 수준이 시대를 따라가지 못하는 것이다.
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 22:32:00,-,@흐르는강 무지한 이들의 세뇌는 어찌할수 없나봐요...보편적인 사고가 안되는 이들....하아...
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 20:59:00,외톨이참새,"내가 다섯 달전에 댓글로 예상했었지...
문통이 지지율이 45%일때 문통의 지지율은 35%가 정상이라고.... 상한선이란 말이지....
두세달전에 낙연이가 사면을 말했을땐 지지율이 한자릿수까지 떨어진다고 했었고.
문통에 대한 증오의 표심은 격랑과 같아서 재명이마저도 장담할수가 없다고 하였지....
그리고 명박이보다 더 모진자를 만나게 될거라고 거듭거듭 말했었지...
내말이 믿기지 않거든 내아이디로 정치면 댓글을 검색해보거라.
내예측이 100% 정확하지않은가...
정치는 개뿔도 모르는 것들이 5천만 국민을 책임진다고 주접들을 싸고있으니.... 나라가 순탄하게 돌아갈리가 있는가...
친문니들.... 진정 국가와 국민을 위한다면..... 정치접어라."
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 20:41:00,kyoussqw,검찰 개혁이 도대체 무어야 정치적 중립성을 확보하고 국민의인권을 존중하는것이 요체인대 아니 검찰을 정권의 시녀로 전락 시키는 것이 이정권의 검찰 개혁이냐 김오수같은 허수ㅇ아비를 추천하는 것이 검찰 개혁이냐 참으로 개탄할일이다 이제 국민들이 용납 하지않을 것이다
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 20:31:00,머나먼유토피아,"즈그들 배시때에기만 든든하면, 만사ok 인 것이 수꼬르일베들...., 사회정의는 반공이면, 검찰에 의한 간첩조작사건이든 고문조작사건이든 상관없이 ok....지들이 당하기 전까진...., 이런 닭대가리국민들이 널렸으니, 리승만이가 판을 쳤었고, 닭정희기 판을 엎었고, 조홋두환이가 판을 깼던 것이다.
최순실한테 당하고도, 제2의 최순실을 조장하고 있으니... 극우쪼옥바리들이, 한국따위운운하는 것 아닌가...."
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 20:27:00,kyoussqw,우리나라는 지금 이상한 정권이 집권해 있다 공정 정의 상식이 없는 정권이다 공정과 상식이 지배하는 나라가 되려면 윤석열 같은 분이 존경을 받아야 한다 이재명 이낙연 김태년 김용민 김종민 이낙연 윤호중 박병석 같은 상식이 없는 이런 사람들은 우리사회에서 도퇴 시켜야 한다 특히 정세균도 마찬가지다
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 20:07:00,never****,윤석열 지지율에 지나가는 개도 웃겠다.
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 19:58:00,kdj****,고마해라 윤석열에 윤자만 들어도 징글징글하다
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 18:22:00,황태자의 꿈,"또 구라미터 여론조사?
시간과 돈이 아깝다.
이런 기사를 보는 내가 한심하다.
이 여론조사가 신뢰성이 있다면
이나라는 머지않아 멸실된다고 자신있게 말한다.
전국민 투표인을 각계층에서 10%정도라도 해야지
그게 여론조사고 응답률과 조사했던 지문,방식도
함께 발표해야지 이런 여론조사,보도는 헛쥐랄이다.
어린 강아지도 웃는다."
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 18:16:00,바보이반,경향이 미쳤나 보다. 윤서방파 띄우기에 나서고 있나 봐. 정신 좀 차려라.
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 18:02:00,-,"대한민국에 살처분이 필요한 개돼지들이 32%나 된다는 소리구만

즉각 살처분 시행들어가자. 저런것들은 놔둬 봐야 후손들만 힘들게 한다."
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 18:01:00,그냥,석열이가 있어 보이냐?
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 18:00:00,quadra,"윤석열 지지의 의미는
'윤설열 지지'가 아니라, '문재인 싫어'다.
좌파는 깨끗하지도 않았고, 일을 잘하지도 않았다.
무책임하고, 아마추어 같았지..
우리나라 현대사에서 데모 외에 뭐하나 해본적 없는 인간들"
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 17:49:00,공공,석열이가 한게 무언대? 왜? 지지를 하는것인대?
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 17:37:00,꾸물러,대꺠문들 속이 아주 타들어 가겠네 ~ 니들 인생도 타들어가길~
"“윤석열 32% 이재명 23.8%, 이낙연 9%”···대선 지지율 1~2위 격차 한자릿수로",2021-05-03 16:00:00,2021-05-03 17:33:00,롱다리,문빠들아.. 왠지 어두운먹구름이 서서히몰려오는것 같지않니? 그래도쫄지마 ㅋㅋ
