제목,날짜,작성일,작성자,댓글
여당 ‘대선 경선 연기’ 논쟁 격화…이재명 측 “특정인 배제의도”,2021-05-07 21:20:00,2021-05-08 12:39:00,김성진,시간이 갈수록 국민들이 민주당을 믿을수 없게 상황이 전개되고 있으니 앞날이 걱적이 아닐 수 없다는 사실입니다.
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-05-03 16:34:00,정의대장,"난 이재명이 찍을거야.
우리가족 모두 100% 내가 가장이니까."
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-12 20:18:00,김성진,글쎄요? 윤석의 약점 버텨 나갈 수 있을까요?
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-12 17:59:00,srl****,일은 이재명이 잘한다
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-12 00:51:00,김미구,"초파일을 지나고
어떤 변화가 찾아올지 기다려 보자.

앞으로 한 달간에 인사개편과
혹시 사면이 있을 수 있기때문이다."
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 23:38:00,인동초,김종인 말도 안돼는 나발이고요? 윤석열은 안철수와함께 해야 시너지가 생 깁니다.
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 22:03:00,공오,윤의 거품이 이미 꺼지고 있는 시점에서 그를 띄우는 이 기사의 저의가 무엇인지 모르겠다.
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 21:44:00,임기석,"기사 제목과 가사 내용이, 천방지축마골피이다."
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 20:17:00,봄날,"이재명은 입으로 하는 정치 만 잘하는 좌파
그러니까 선전선동 만 있는 놈
이제는 우파도 싫다
차라리 중도파 윤석열 전 검찰총장이 대세"
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 19:45:00,김성진,윤석열은 약점이 너무 많아 쉽지 않을 것이다.
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 19:34:00,조인선,여배우 성적테러하고 쌩깐 형수에 쌍욕한 인간말종과 조직깡패수장이며 호텔접대부남편이 대결하니 과히 역대급이다.몸값이 존버이다. ㅋㅋㅋㅋ
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 16:52:00,nbv,"처가의 실력들이 막강한 명문가이니
막강한 자본력도 있을거고 어찌하면 궁민들이 잘 혹하는 방법도
잘 알것이니 당연히 승리의 꿈 갖을만도하겠지"
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 16:31:00,김미구,"둘 다 법말랭이 이다.
스타일은 버티기와 양단식으로 비슷하고,

만일 두 사람이 선거전을 치룬다면
그 지지세력들도 지금보다 더 강력 대립될 것이다.

한국은 이런 정치연속극을 계속 봐야하는
불쌍한 나라가 되 간다.

선거나 정치토양을 바꾸는 것이 필요하다.
증오나 자기감정풀이식의 지지세력은
오히려 민주주의를 가로막고 있다.

민생에 관한 정책은 접근해 가야 한다.
이것이 곤란한 사람은 후보로 부적합하다."
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 15:16:00,윤성운,"선거직으로 당선돼서 민생을 챙겨본 경험도 없고
오로지 검찰조직을위해 싸우던사람
보궐선거에서부터 당선돼 천천히 배워나가야지
지금 가족들 비리문제 최근에는 부동산투기 엄청난 세금납부도 안하고 이런식으로 검증돼 가다간 몇개월 안돼서 쪽박찹니다"
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 14:03:00,y****,이재명이 대통령이 되어야 한다. 그래야 국민들에게 형이나 형수처럼 쌍욕을 허벌나게 해줄테니. 욕 많이 얻어 먹으면 오래 산다며
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 14:01:00,do****,댓글이 어째 재명 빠들 문빠들만 보이네~~~~~~~!! 니네들 윗대가리들이 지령 내렷냐~~~~!!?? 개 ~ 도야지~~~~~~~ ㅅ ~ㅋ ~들 같으니~~정치인은 언제 어디서나 비판 해야 하느니~~~~~~~~권력에 노예들 까지 가지면 되겠냐~~~~~~!!
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 13:57:00,do****,문 씨는 잠 다잣군~~~~~~~~!! 하산길은 다가오고~~~~~~저 앞에는 윤석열과 이재명이 큰칼들고 기다리고 있고~~~~~~!!
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 12:33:00,아브라함,"배은망덕한 인간 찍어주고, 내가 검찰에 불려갈까 겁나네 ~
여주까지 쫓겨난 인간 살려주니, 은인을 죽이려는 놈아닌가?"
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 12:15:00,서정부락,"노무현도, 문재인도 집값을 못잡아서 정치를 실패했다.

간단한 이론 팔도록 만드는대 매질만이 능사가 아니다. 햇볓정책처럼 팔도록 유인해야 한다.

규제를풀고, 세금을 나추고, 팔면 해택을 주는거다. 팔도록 다양한 정책을 펴는거다.

이 간단한걸 반대로해서 지금에 사단을 만들었다."
내년 대선은 결국 이재명 대 윤석열?,2021-04-11 08:32:00,2021-04-11 11:29:00,Harry Oh,"조국이와 추미애가 계속 씨부려 된다면
윤석렬이는 저절로 대통령 된것이다.
여기에다 김용민 김남국이가 조금만 더
부려 주면 날개를 달고 윤석렬이 대통령된다. 사실 민주홍어당의 실정을 보면
막대기를 꽂아놔도 당선 확실..
대깨문의 활약이 기대된다."
