제목,날짜,작성일,작성자,댓글
박근혜 탄핵과 ‘촛불’ 꺼낸 추미애···대선 전 ‘지지층 정치’ 본격화?,2021-04-29 14:59:00,2021-05-01 01:16:00,당근먹는고양이,이제 민주당 쪽 사람들 비판하기 두렵다... 고소당할까...
박근혜 탄핵과 ‘촛불’ 꺼낸 추미애···대선 전 ‘지지층 정치’ 본격화?,2021-04-29 14:59:00,2021-04-30 17:44:00,명준아빠,일하라고 국회의원 이랑 법무부장관 기관장 시켜주었으면 일을해야지 맨날 지네들 해쳐먹을 생각에 정치선동만 임기내내 하고 ... 해쳐먹는건 선수인것들이 무슨 사회 정의가 어떻고 개수작들만.....이걸 지지하는 돌팍들이나 ....휴
박근혜 탄핵과 ‘촛불’ 꺼낸 추미애···대선 전 ‘지지층 정치’ 본격화?,2021-04-29 14:59:00,2021-04-30 13:18:00,박찬하,"추미애,야정신좀,차려라,촟불,난동,폭동이다,,"
박근혜 탄핵과 ‘촛불’ 꺼낸 추미애···대선 전 ‘지지층 정치’ 본격화?,2021-04-29 14:59:00,2021-04-30 10:57:00,바른생활,진짜 궁금해서 그러는데 안 부끄럽냐? 자신의 감정도 제대로 못 추스리는 동네 반장깜도 안돼는 사람이 무슨 대권..ㅋㅋ 왜? 문 xx이 하니까 너두 그저다 싶어? 니 아들 병역 부정특혜나 낱낱히 밝혀서 죄값이나 치뤄라..-
박근혜 탄핵과 ‘촛불’ 꺼낸 추미애···대선 전 ‘지지층 정치’ 본격화?,2021-04-29 14:59:00,2021-04-30 10:48:00,actions 2,"김무성 나쁜 인간 秋와 口 맞대고 나라 이꼬라지로 만든 배은망덕 한 者 다 黨대표 도장 들고 튀엇었지~~
醜雜한 秋와金 天罰받을거다"
박근혜 탄핵과 ‘촛불’ 꺼낸 추미애···대선 전 ‘지지층 정치’ 본격화?,2021-04-29 14:59:00,2021-04-30 09:29:00,별이,민주당은 추미애를 반드시 대선 주자로 만들어 주시길~~~ㅎㅎ
박근혜 탄핵과 ‘촛불’ 꺼낸 추미애···대선 전 ‘지지층 정치’ 본격화?,2021-04-29 14:59:00,2021-04-29 23:06:00,Hun,"박근혜+최순실 보다도 너가 더 끔찍하고 너를 더 깜빵 집어넣고 싶고, 너가 우리나라 더 절망스럽게 만들었다고 본다. 미친 대깨문 제외하고 대부분의 국민의 정서가 이런줄은 너만 모르지? 박근혜 최순실 이만큼 콩밥먹고 짓밟혔는데 왜 너는 아직도 이렇게 잘 살고 있는지 피가 끓어.."
박근혜 탄핵과 ‘촛불’ 꺼낸 추미애···대선 전 ‘지지층 정치’ 본격화?,2021-04-29 14:59:00,2021-04-29 21:57:00,my chang,"저"" 똘녀는""
뇌가 없는 것으로 보이는구나,~~~"
박근혜 탄핵과 ‘촛불’ 꺼낸 추미애···대선 전 ‘지지층 정치’ 본격화?,2021-04-29 14:59:00,2021-04-29 21:00:00,마이크2017,추하다.
박근혜 탄핵과 ‘촛불’ 꺼낸 추미애···대선 전 ‘지지층 정치’ 본격화?,2021-04-29 14:59:00,2021-04-29 20:40:00,바람,추미애 정도만 되도 준수하다고 생각합니다. 토지공개념 말하는걸보면 부동산 문제에 대해선 민주당서 가장 개혁적인 그룹에 속할듯. 토지 지대추구 막아야한다고.
