제목,날짜,작성자,작성일,댓글
"[시선집중] 김웅 ""당대표 되면 제일 먼저 이스타항공 노조 찾아갈 것""",2021-05-13 09:48:00,김원오,2021-05-13 12:40:00,"그  이름도  거룩한    김      웅  의원   ㊗️   화이팅
대한민국   🇰🇷  만세  ~~~"
"[시선집중] 김웅 ""당대표 되면 제일 먼저 이스타항공 노조 찾아갈 것""",2021-05-13 09:48:00,잘돌아간다,2021-05-13 12:06:00,정의당은 모하냐?
"[시선집중] 김웅 ""당대표 되면 제일 먼저 이스타항공 노조 찾아갈 것""",2021-05-13 09:48:00,심가이버,2021-05-13 12:06:00,검사  ㅠㅠㅠ~~~
"[시선집중] 김웅 ""당대표 되면 제일 먼저 이스타항공 노조 찾아갈 것""",2021-05-13 09:48:00,어쭈구라,2021-05-13 12:01:00,어디 조선일보 같은 놈이네.
"[시선집중] 김웅 ""당대표 되면 제일 먼저 이스타항공 노조 찾아갈 것""",2021-05-13 09:48:00,정다운,2021-05-13 11:23:00,지금 가봐라
"[시선집중] 김웅 ""당대표 되면 제일 먼저 이스타항공 노조 찾아갈 것""",2021-05-13 09:48:00,나무,2021-05-13 11:19:00,김웅 씨가 되는 게 그나마 좀 희망이 있어보인다. 그렇게 되면 민주당도 긴장하고 정신차려야 할 듯...
"[시선집중] 김웅 ""당대표 되면 제일 먼저 이스타항공 노조 찾아갈 것""",2021-05-13 09:48:00,이재우,2021-05-13 11:16:00,"김웅은 절대
당대표않됨
그리고
아직은 능력부족"
"[시선집중] 김웅 ""당대표 되면 제일 먼저 이스타항공 노조 찾아갈 것""",2021-05-13 09:48:00,조택련,2021-05-13 11:11:00,생각이 이러니  ㅉ ㅉ --좀 대국적 소갠으로 큰정치를~~~~
"[시선집중] 김웅 ""당대표 되면 제일 먼저 이스타항공 노조 찾아갈 것""",2021-05-13 09:48:00,조성국,2021-05-13 11:03:00,당대표는 나경원 전대표님
"[시선집중] 김웅 ""당대표 되면 제일 먼저 이스타항공 노조 찾아갈 것""",2021-05-13 09:48:00,dmfalfeo,2021-05-13 11:01:00,"노동자를 위한다면
비정규직을 철폐해야지
검생 아저씨가
노동자에 대해 뭘 안다고
깝쭉되냐!!!"
"[시선집중] 김웅 ""당대표 되면 제일 먼저 이스타항공 노조 찾아갈 것""",2021-05-13 09:48:00,!,2021-05-13 10:59:00,이번에국민의힘에서초선이당대표되면지지율이민주당보다월등히올라가고내년대선에서도반드시이긴다
"[시선집중] 김웅 ""당대표 되면 제일 먼저 이스타항공 노조 찾아갈 것""",2021-05-13 09:48:00,닉네임을 등록해주세요,2021-05-13 10:56:00,국짐당이제는 김웅의원.이준석등이 뭘알아 대표된다고설치고.조금있으면 꽃제비와태영호도나올련지궁금하다
"[시선집중] 김웅 ""당대표 되면 제일 먼저 이스타항공 노조 찾아갈 것""",2021-05-13 09:48:00,情,2021-05-13 10:52:00,"이사람.
퇴출"
"[시선집중] 김웅 ""당대표 되면 제일 먼저 이스타항공 노조 찾아갈 것""",2021-05-13 09:48:00,future,2021-05-13 10:52:00,대표 후보가 없나
