제목,날짜,작성자,작성일,댓글
"[뉴스하이킥] 조경태 ""홍준표 복당 문제 없어, 문제를 만드는 게 문제""",2021-05-12 19:17:00,킹콩,2021-05-14 07:56:00,cbs인터뷰 듣다가 짜증나 죽는줄 알았네   사회자가 싨수한것을  가지고  신경질내고   자꾸 반복해서 얘가하네  어떻게 5선까지 했나 모르겠네.  지역구가 어디인가?
"[뉴스하이킥] 조경태 ""홍준표 복당 문제 없어, 문제를 만드는 게 문제""",2021-05-12 19:17:00,두목,2021-05-13 22:18:00,"홍준표의원 없는 국민의힘이 얼마나 견디어 낼까? 
국민의힘은 조건없이 먼저  홍준표의원 복당부터 시작이 되어야 한다.
지금 좌파를 흔들림 없이 견재할 사람이 국민의힘에 있다고 생각하지는 않겠지?"
"[뉴스하이킥] 조경태 ""홍준표 복당 문제 없어, 문제를 만드는 게 문제""",2021-05-12 19:17:00,흰돌귀동,2021-05-13 13:33:00,"큰 틀에서의 나라와 당을 생각 해야지요..
지금 정권 탈환을 위한 적임자 당대표 선거에 홍준표의원이   복당을 하든 안하든이 지금 시점엔 중요치 않습니다.
인기로 나라정치합니까?
말로 정권창출할 수있습니까?
후보난립으로 시끄럽지만 민심은 천시이라고  시대가 요구하는 진정한 인물이 누구이겠습니까?
조경태의원입니디ㅡ.
지지해주시고 성원을 부탁드립니다.
인천동구 이정옥당원입니다."
"[뉴스하이킥] 조경태 ""홍준표 복당 문제 없어, 문제를 만드는 게 문제""",2021-05-12 19:17:00,선자,2021-05-13 12:31:00,"아프리카랑 우리나라를 구분도 못하는 놈이 무슨 당대표?
하긴 저런 놈이 들어가면 좋기는 하지. 
1%대와 7%대를 구분 못하는 놈...ㅋㅋㅋㅋㅋ"
"[뉴스하이킥] 조경태 ""홍준표 복당 문제 없어, 문제를 만드는 게 문제""",2021-05-12 19:17:00,닉네임을 등록해 주세요,2021-05-13 09:04:00,좌파들의  이간계에 놀아나지 말자! !  지금은 대통합으로 정권창출이 우선이다
"[뉴스하이킥] 조경태 ""홍준표 복당 문제 없어, 문제를 만드는 게 문제""",2021-05-12 19:17:00,세계로맘,2021-05-13 08:52:00,"지금은 뭉쳐야할때.....힘을 길러야 합니다

그래야  정권도 찾아오죠

미래가 있는 대한민국에 살고싶습니다

조경태 당대표되어 확 바꿔주이소~~~%"
"[뉴스하이킥] 조경태 ""홍준표 복당 문제 없어, 문제를 만드는 게 문제""",2021-05-12 19:17:00,뉴클라,2021-05-13 08:33:00,"좌파놈들은  홍준표 복당 반대하겠지. 홍준표 나오면 게임 끝이거든. 
문재인,  덜덜 떨고 있니?"
"[뉴스하이킥] 조경태 ""홍준표 복당 문제 없어, 문제를 만드는 게 문제""",2021-05-12 19:17:00,뉴클라,2021-05-13 08:29:00,조경태 화이팅!  당대표 가자.~~~~~~~
"[뉴스하이킥] 조경태 ""홍준표 복당 문제 없어, 문제를 만드는 게 문제""",2021-05-12 19:17:00,미르,2021-05-13 07:14:00,"실용정치의 선두주자
 당대표조경태 가자~~~~~"
"[뉴스하이킥] 조경태 ""홍준표 복당 문제 없어, 문제를 만드는 게 문제""",2021-05-12 19:17:00,이지환,2021-05-13 05:27:00,"조경태  참신했는데 실망이네
세상을  보는 눈이 이래 가지고
무슨
말한마디 잘못하면 한방에 갈수 있다
급하다고   가리지   않고  다 데리고 오면
호미로  막을 것 가래로도  못막는다."
