제목,날짜,작성자,작성일,댓글
"전용기, 유승민에 ""고졸 지원이 포퓰리즘?…따뜻한 보수 어디갔나""",2021-05-06 15:54:00,4049375*,2021-05-07 10:08:09,"얘도 안민석처럼 체육과 나온 애라는데,
이런 돌머리들에게 무슨 정책개발 기대하겠는가?
하여튼 민주당 아류들은 어디서 이런애들 골라 사용하는지?
이해불가?"
"유승민, 대구에서 기자간담회 ""중도+보수 야권 단일후보 될 것""",2021-04-30 19:25:00,Justso*,2021-05-01 00:45:57,"우리 집 개돌이가 실실 쪼개며 하는 소리가
유승민이 ""야권 단일 후보""가 된다면, 개돌이
자신의 발가락에 장을 지지겟단다."
차기 대선주자 선호도 윤석열 32%·이재명 23.8%·이낙연 9.0%,2021-05-03 09:46:00,박현*,2021-05-10 19:55:20,윤석렬은 굴곡이 심하네... 그에 비해 이재명은 꾸준히 상위권이고. 2500명 조사는 어느 지역에 치중하느냐에 따라 많은 차이를 보일 텐데. 그리고 여론조사라며 전화 오는데 그게 받아주는 사람 이제 거의 없다. 40대인 나도 그냥 끊는다. 그거 받아서 조사 참여하는 연령층 알만 하지? 정작 투표하면 저건 무조건 이재명 당선이야...
차기 대선주자 선호도 윤석열 32%·이재명 23.8%·이낙연 9.0%,2021-05-03 09:46:00,강영*,2021-05-04 16:55:08,윤석렬이는 장모 마누라 사기사건 무마로 감빵가야 할것 같은데..
차기 대선주자 선호도 윤석열 32%·이재명 23.8%·이낙연 9.0%,2021-05-03 09:46:00,이현*,2021-05-04 11:53:52,"윤석렬 대선판에서 처가 가족들 비리 까발려지겠구나

의혹이네 수사중이네 무혐의네 그런건 의미없다

검찰때 니들이 하던 언플로 한번 당해봐라

대선 끝까지 완주하길 간절히 소망한다"
차기 대선주자 선호도 윤석열 32%·이재명 23.8%·이낙연 9.0%,2021-05-03 09:46:00,3495780*,2021-05-03 18:36:22,"윤석열·김정숙·문재인이 박원순 살해 혐의로 입건돼 범죄 피의자가 됐다

박원순 사인은 전신이 허공에 매달린 질식사(목 졸림)다 이때 심장 박동이 정지되면 중력 작용으로 혈액이 몸 아래쪽 모세혈관 내로 침강하면서 자줏빛 반점이 시체의 손끝 발끝 다리 아래쪽에 생긴다 그러나 시신에는 반점이 뒷덜미 허리 등 허벅지에 나타나 있다 즉 타살된 뒤 옮겨진 것이다
https://blog.naver.com/cnamsung/222170443857"
차기 대선주자 선호도 윤석열 32%·이재명 23.8%·이낙연 9.0%,2021-05-03 09:46:00,박현*,2021-05-10 19:56:25,멍멍?
차기 대선주자 선호도 윤석열 32%·이재명 23.8%·이낙연 9.0%,2021-05-03 09:46:00,한은*,2021-05-11 01:30:31,"태극기 부대 대원이신거 같은데 선은 지키세요.
너무 흉합니다. 부끄러운줄 아세요."
차기 대선주자 선호도 윤석열 32%·이재명 23.8%·이낙연 9.0%,2021-05-03 09:46:00,전경*,2021-05-03 15:34:01,결혼전이라고 치자 공모를 같이 했다고 트집잡는것도 아니고 제대로 수사를 해달라는 얘기 그럼 떳떳하잖아
차기 대선주자 선호도 윤석열 32%·이재명 23.8%·이낙연 9.0%,2021-05-03 09:46:00,952333*,2021-05-03 15:25:21,전화응답? 누가 요즘 전화응답하는 사람있냐?
차기 대선주자 선호도 윤석열 32%·이재명 23.8%·이낙연 9.0%,2021-05-03 09:46:00,김치*,2021-05-03 15:03:29,"리얼미터가 구라인건 .. 검증된 일..
토왜, 국ㄸ당의 사주를 받는 구라 조작 미터인 걸 아직도 모르는 사람이 있나..
오죽하면 다스뵈이다에서 쫒겨 났을까..
김어준이 보다 보다 안되니까 .. 발로 뻥.. 퇴출.. !!
박시영 *윈지코리아* 와만 단독으로 여론 진단중.. !!"
차기 대선주자 선호도 윤석열 32%·이재명 23.8%·이낙연 9.0%,2021-05-03 09:46:00,Kiki Ki*,2021-05-03 14:59:49,"어떤 애들한테 여론조사를 어케 했는지 모르지만 지금 지지율이 쬐끔 높다고 대통령 될거 같이 생각 되냐??
반기문이 바라 반기문이 처음 나온다고 했을때 나는 반기문이가 대통령 되는줄 알았다 ㅋㅋㅋ
아마 윤석열이 대선 나오면 영혼까지 탈탈 털릴거다...
감당 할수 있을려나 모르것네 ㅋㅋㅋ"
차기 대선주자 선호도 윤석열 32%·이재명 23.8%·이낙연 9.0%,2021-05-03 09:46:00,박봉*,2021-05-03 14:49:57,좌파 다합쳐바야40프로도 안됀다..그냥 단일후보만내믄 자동 보수 대통령 .뻬엑뻭 거려바야 달라지는건 없어..
차기 대선주자 선호도 윤석열 32%·이재명 23.8%·이낙연 9.0%,2021-05-03 09:46:00,김치*,2021-05-03 15:09:50,"이 나라의 보수는 진작에 다 죽었고..
친일 사대 반민족 국민대학살 모리배.. 부패한 *수구*들이 남아서 목에 힘주고 언필칭 *보수*란다.
보수가 얼마나 명예롭고.. 향기롭고.. 정의로운 이름인데..
수구 부패 기득권 국ㄸ당 반역자들이 자칭 *보수*라니 가당치 않다."
