제목,날짜,작성자,작성일,댓글
"[시선집중] 성일종 ""대통령 꿈꾸는 김부겸이 대선 관리? 국민에 대한 예의 아냐""",2021-05-04 10:14:00,자연인,2021-05-04 16:39:00,네내 형의 죽음에 대해서 그렇게 관심을 가져봐라
"[시선집중] 성일종 ""대통령 꿈꾸는 김부겸이 대선 관리? 국민에 대한 예의 아냐""",2021-05-04 10:14:00,드래그짱,2021-05-04 15:30:00,"저건 또 먼 논리냐
본인이 안나가는 선거에 관리하면 뭐가 문제인데??
성일종은 형의 억울한 죽음에는 관심 없냐???"
"[시선집중] 성일종 ""대통령 꿈꾸는 김부겸이 대선 관리? 국민에 대한 예의 아냐""",2021-05-04 10:14:00,이정구,2021-05-04 13:00:00,"이 정권의  법무장관들
으째 하나같이  똑 같냐
제대로 된것이 하나도없네
전부 길들여진 짐승들이네
시키면 시키는대로~~"
"[시선집중] 성일종 ""대통령 꿈꾸는 김부겸이 대선 관리? 국민에 대한 예의 아냐""",2021-05-04 10:14:00,애비가일,2021-05-04 11:47:00,너는 니형이  국민짐한테 이용당하고 죽었는데  너는 출세할라고 한통속이되서  그러는거  예의냐??
"[시선집중] 성일종 ""대통령 꿈꾸는 김부겸이 대선 관리? 국민에 대한 예의 아냐""",2021-05-04 10:14:00,경일,2021-05-04 11:11:00,국짐 존재 자체가 국민에 대한 예의가 아니니 해산부터 하고 얘기합시다
"[시선집중] 성일종 ""대통령 꿈꾸는 김부겸이 대선 관리? 국민에 대한 예의 아냐""",2021-05-04 10:14:00,승,2021-05-04 11:10:00,이할배ㅋㅋ 언제적 예비고사 전국수석했으니 정치인 원희룡이 유능하다는 말도 안되는 논리는 뭐냐? 이런인간들이 국회를 채우고있으니 아직도 박정희 이승만을 못벗어나지. 한심하다.
"[시선집중] 성일종 ""대통령 꿈꾸는 김부겸이 대선 관리? 국민에 대한 예의 아냐""",2021-05-04 10:14:00,승,2021-05-04 11:07:00,최근인사중 김부겸이 제일 낫드만'  니네보단 훨 나은 인물인듯
"[시선집중] 성일종 ""대통령 꿈꾸는 김부겸이 대선 관리? 국민에 대한 예의 아냐""",2021-05-04 10:14:00,sang do kim,2021-05-04 11:04:00,"항교안 같은 검찰 출신을 총리로 세운

새누리당 보다 낫다

광교산 사우나 새누리 

국민의암 폭망해잖아"
"[시선집중] 성일종 ""대통령 꿈꾸는 김부겸이 대선 관리? 국민에 대한 예의 아냐""",2021-05-04 10:14:00,별명없음,2021-05-04 10:53:00,성일종이 말아야 막걸리야 너는 국회의원을 꿈꾸노 ? 국개는 왜 됐노 ?
"[시선집중] 성일종 ""대통령 꿈꾸는 김부겸이 대선 관리? 국민에 대한 예의 아냐""",2021-05-04 10:14:00,준이,2021-05-04 10:47:00,총리후보자를일개야당의원이지명하게돼있냐?
"[시선집중] 성일종 ""대통령 꿈꾸는 김부겸이 대선 관리? 국민에 대한 예의 아냐""",2021-05-04 10:14:00,청산에,2021-05-04 10:45:00,"간이 배 밖으로 튀어 나온,  아무 말이나 제 멋대로 씨부리는 적폐 종자들........."
"[시선집중] 성일종 ""대통령 꿈꾸는 김부겸이 대선 관리? 국민에 대한 예의 아냐""",2021-05-04 10:14:00,민봉근,2021-05-04 10:41:00,개소리하고자빠졌네
"[시선집중] 성일종 ""대통령 꿈꾸는 김부겸이 대선 관리? 국민에 대한 예의 아냐""",2021-05-04 10:14:00,아침안개,2021-05-04 10:29:00,니가 국짐에서 일하는건 형에 대한 예의가 아닌듯
"[시선집중] 성일종 ""대통령 꿈꾸는 김부겸이 대선 관리? 국민에 대한 예의 아냐""",2021-05-04 10:14:00,터프가이형,2021-05-04 10:18:00,성일종은 인간은  지네형 성완종이가 왜 죽은지 잘알고 지금 지가 몸담은 국민의 암당 애들때문에 자살을했는데 그곳에 몸담고 형의 죽음에 대해서 한마디 언급없이 그저 국회의원 자리에 욕심이 가득한 추악한 인간의 면모를 본다 니네 형을 생각을해서  니형을죽인 당에서 탈당을 했어야한다~
