제목,날짜,작성자,작성일,댓글
"[시선집중] 원희룡 ""7월 사퇴는 오보, 대선 이제 개막전.. 결국 윤석열 제칠 것""",2021-05-04 09:42:00,mina,2021-05-04 11:16:00,꿈 깨세요ㆍ현실과. 민심을 정확히. 판단 하시기를ㆍ ㆍ
"[시선집중] 원희룡 ""7월 사퇴는 오보, 대선 이제 개막전.. 결국 윤석열 제칠 것""",2021-05-04 09:42:00,샤커,2021-05-04 12:20:00,정말꿈도   야무지다  꼴에 대통령~~ㅎ~ㅎ~ ㅎ
"[시선집중] 원희룡 ""7월 사퇴는 오보, 대선 이제 개막전.. 결국 윤석열 제칠 것""",2021-05-04 09:42:00,해피인밴,2021-05-04 10:55:00,허경영하고 붙어도 질걸.
"[시선집중] 원희룡 ""7월 사퇴는 오보, 대선 이제 개막전.. 결국 윤석열 제칠 것""",2021-05-04 09:42:00,Kil Sang Cho,2021-05-04 10:12:00,누구?
"[시선집중] 이태규 ""현재 야권은 안철수-윤석열-국민의힘 트로이카, 국힘 중심은 바람직하지 않아""",2021-04-19 09:36:00,erotoon,2021-04-21 12:39:00,안철수는  또다시  수구야권의 대선흥행카드로  이용되고  버려질  운명
"[시선집중] 이태규 ""현재 야권은 안철수-윤석열-국민의힘 트로이카, 국힘 중심은 바람직하지 않아""",2021-04-19 09:36:00,yunsdh,2021-04-20 09:01:00,자신들이 정치공해  수준의 존재라는 걸 아는지?
"[시선집중] 이태규 ""현재 야권은 안철수-윤석열-국민의힘 트로이카, 국힘 중심은 바람직하지 않아""",2021-04-19 09:36:00,final,2021-04-19 23:34:00,"이태규가 안철수의 브레인이라는데
안철수 행보를 보면
이태규의 말이 얼마나 쭉정이인지 알 수 있음"
"[시선집중] 이태규 ""현재 야권은 안철수-윤석열-국민의힘 트로이카, 국힘 중심은 바람직하지 않아""",2021-04-19 09:36:00,pura vida,2021-04-19 10:52:00,"그냥 웃지요
지역의원 0인 정당이  제1야당을 먹겠다고?
양심이 없네
쪽팔린 줄도모르고"
"[시선집중] 이태규 ""현재 야권은 안철수-윤석열-국민의힘 트로이카, 국힘 중심은 바람직하지 않아""",2021-04-19 09:36:00,이요섭,2021-04-19 10:48:00,"찰스님을 놔주세요 더이상  간신배의  무리에 둘러싸여   이용당하고  단물빨리고  토사구팽  당하는
꼴 보기  싫어요"
"[시선집중] 이태규 ""현재 야권은 안철수-윤석열-국민의힘 트로이카, 국힘 중심은 바람직하지 않아""",2021-04-19 09:36:00,장군,2021-04-19 10:46:00,국민의힘이 아니면 이렇게 결과가 나오지 못했지 나무 계산하디말고 국민의힘을 중심으로 연합하세요 윤총장 지지자 대부분이 국민ㅇ의힘 지지자 들이다 윤총장도 이것이 빠지면 어럽다 착각은 금물
"[시선집중] 이태규 ""현재 야권은 안철수-윤석열-국민의힘 트로이카, 국힘 중심은 바람직하지 않아""",2021-04-19 09:36:00,동해구박사,2021-04-19 10:43:00,"니들은   밥그릇에 관심만
반찬이 무엇주느냐  에만관심
통합하지마라
죽던지 살던지  죽써서  개주라"
"[시선집중] 이태규 ""현재 야권은 안철수-윤석열-국민의힘 트로이카, 국힘 중심은 바람직하지 않아""",2021-04-19 09:36:00,오예,2021-04-19 10:42:00,이념도 신념도 아니고 빅텐트 제대로 미쳤다
"[시선집중] 이태규 ""현재 야권은 안철수-윤석열-국민의힘 트로이카, 국힘 중심은 바람직하지 않아""",2021-04-19 09:36:00,국민소통,2021-04-19 10:25:00,"좋다

개들의 조합"
"[시선집중] 이태규 ""현재 야권은 안철수-윤석열-국민의힘 트로이카, 국힘 중심은 바람직하지 않아""",2021-04-19 09:36:00,김기석,2021-04-19 10:19:00,"새정치나 연구해봐 ㅋㅋㅋㅋ
초딩들 웃기네"
"[시선집중] 이태규 ""현재 야권은 안철수-윤석열-국민의힘 트로이카, 국힘 중심은 바람직하지 않아""",2021-04-19 09:36:00,김성연,2021-04-19 10:07:00,합당? 이런것 하지 말고  그냥 경쟁해라~~~~
"[시선집중] 이태규 ""현재 야권은 안철수-윤석열-국민의힘 트로이카, 국힘 중심은 바람직하지 않아""",2021-04-19 09:36:00,대한,2021-04-19 10:01:00,그냥   안철수  국민의힘으로   합당 하기 싫은면  아웃사이더   오지 마셔요
