제목,날짜,작성자,작성일,댓글
"[알고보니] ""정치 테마주는 OO이다""",2021-05-12 11:31:00,앞뒷가 맞아야지,2021-05-15 11:34:00,"정치테마주~?
정치 인맥으로  특혜받는 기업에 대해 주식투자로 돈 벌겠다는  것인데.... 
이것은 정상적인가 의문~?"
"[알고보니] ""정치 테마주는 OO이다""",2021-05-12 11:31:00,열심히 살자,2021-05-12 12:10:00,"테마주 든 우량주든 뭐든 세력이 붙어야지 올라간다. 걍 세력이 붙느냐 안 붙느냐 그걸로 보면된다.

경기방어주, 민감주, 우량주,,,걍 모두 헛소리임. 세력이 붙느냐 안 붙느냐가 관건임 기술우량기업에 낚시하듯이 한 10년 동안 투자해도 안 오르는 건 안 오른다.  

세력은 외국, 연기금, 펀드, 개인,... 등등 돈을 굴리는 놈들임."
"[알고보니] ""정치 테마주는 OO이다""",2021-05-12 11:31:00,리오,2021-05-15 10:27:00,똑똑하심
"[시선집중] 정세균 ""이재명, 중대본 회의 잘 안 나와.. 윤석열은 강적 아냐""",2021-04-26 09:41:00,채윤이,2021-04-26 11:21:00,"내부총질은  이재명주특기지
정부 뒤통수치고
언론에 친구비 찔러주고 언플달인이지
전과4범이 말해주잖아
불륜소송은 왜  맞고소 안하는걸까?
구린게 넘치는  경기조지사님"
"[시선집중] 정세균 ""이재명, 중대본 회의 잘 안 나와.. 윤석열은 강적 아냐""",2021-04-26 09:41:00,dsji,2021-04-26 09:50:00,누구나  지혼자 달리기 하면  맨날  1등 한다
"[시선집중] 정세균 ""이재명, 중대본 회의 잘 안 나와.. 윤석열은 강적 아냐""",2021-04-26 09:41:00,은방울꽃,2021-04-26 11:25:00,ㅎ 한몸
"[시선집중] 정세균 ""이재명, 중대본 회의 잘 안 나와.. 윤석열은 강적 아냐""",2021-04-26 09:41:00,분석맨,2021-04-26 11:46:00,ㅋㅋ
"[시선집중] 정세균 ""이재명, 중대본 회의 잘 안 나와.. 윤석열은 강적 아냐""",2021-04-26 09:41:00,치타,2021-04-26 12:37:00,"인물이 아녀
카리스마는 찿아볼라고 했는데 없어"
"[시선집중] 정세균 ""이재명, 중대본 회의 잘 안 나와.. 윤석열은 강적 아냐""",2021-04-26 09:41:00,gPdks,2021-04-26 09:50:00,"""중대본에 참석하면 정부가 어떤 노력하고 있고 백신 상황이 어떤지 접종계획은 뭔지 다 알게 됩니다. 그 내용을 잘 알게 되면 그런 말씀을 하기 어려울 텐데 그분이 중대본 회의에 잘 안 나오셨던 것 같아요""

알만 합니다."
"[시선집중] 정세균 ""이재명, 중대본 회의 잘 안 나와.. 윤석열은 강적 아냐""",2021-04-26 09:41:00,K-노동력,2021-04-26 09:52:00,완전 동감입니다.
"[시선집중] 정세균 ""이재명, 중대본 회의 잘 안 나와.. 윤석열은 강적 아냐""",2021-04-26 09:41:00,한여름밤의 달빛,2021-04-26 11:20:00,동감.
"[시선집중] 정세균 ""이재명, 중대본 회의 잘 안 나와.. 윤석열은 강적 아냐""",2021-04-26 09:41:00,맞습니당,2021-04-26 11:58:00,동감
"[시선집중] 정세균 ""이재명, 중대본 회의 잘 안 나와.. 윤석열은 강적 아냐""",2021-04-26 09:41:00,맞습니당,2021-04-26 11:59:00,모르는 사람들이 말 많음
"[시선집중] 정세균 ""이재명, 중대본 회의 잘 안 나와.. 윤석열은 강적 아냐""",2021-04-26 09:41:00,샛바람,2021-04-26 12:34:00,"내부총질이 댓글 순위 일위인게
그만큼 그리 받아들이는 사람이 많다는 것인듯.
코로나 초기에 마스크 배분조차 못하고 사과하던
전 국무총리님이 하실 애기는 아닌듯 합니다.

수고하셨습니다."
"[시선집중] 정세균 ""이재명, 중대본 회의 잘 안 나와.. 윤석열은 강적 아냐""",2021-04-26 09:41:00,다정다감,2021-04-26 13:07:00,"문재인 지지율 떨어지니까  이재명이  정부와 다른 정책 내세우면서 문재인 정부와 거리두기 하던데..

이재명 인성이 드러는 상황.."
"[시선집중] 정세균 ""이재명, 중대본 회의 잘 안 나와.. 윤석열은 강적 아냐""",2021-04-26 09:41:00,다정다감,2021-04-26 13:09:00,"이재명이 대통령 되려면 문재인 도와서 국정 문제 같이 해결해야지..
보수 진보 표 골고루 얻을 수 있을 거다.

이런 식으로 문재인하고 거리두기하면서 내분 일으키면 ...

진보 갈라지고 보수는 석열이가 다 가져갈 거임."
