제목,날짜,작성자,작성일,댓글
"[뉴스하이킥] 장성철 ""정세균 꿈 깨라"", ""서병수 의원 자격 없어""",2021-04-26 19:31:00,strawberry7280,2021-04-27 16:11:00,지금 여론이 만드는 허공에 뜬 지지율. 풋....이재명이 높든 말든 문재인대통령 지지하시는 분들은 이재명하테 절대 표 안줘요. 투표 포기해서 혹시나 저 인간 될까봐 국짐당에 생애 처음으로 대통령 표 던질 생각까지 하고 있습니다.
"[뉴스하이킥] 장성철 ""정세균 꿈 깨라"", ""서병수 의원 자격 없어""",2021-04-26 19:31:00,아드소,2021-04-27 15:20:00,"흠집?

잇는 그대의 사실을 말하는데 흠집이 나면 얼마나 개차반으로 살아온건가?"
"[뉴스하이킥] 장성철 ""정세균 꿈 깨라"", ""서병수 의원 자격 없어""",2021-04-26 19:31:00,김성빈,2021-04-27 02:10:00,김보협 기자 는 뭐가 뭔지 모르 시는 군 !
"[뉴스하이킥] 장성철 ""정세균 꿈 깨라"", ""서병수 의원 자격 없어""",2021-04-26 19:31:00,초롱이,2021-04-27 00:35:00,"이 얘긴 죽어도 안하지??!!
이재명이 여권 대선후보가되면 국짐과 개검이 
가만있을까?!  만약 국짐 후보로 엿이 나왔다 생각해보자. 본문에도 엿을 염두해둔듯 말하기도했고...
개검 캐비넷에 고이 잠자고있는 찢도지사의 각종
비리세뜨들... 한두개씩만 터트리고 정권교체 원하는 언레기들이 선동기사 써재낀다.생각해봐!ㅋㅋㅋ
그야말로 찢도지사는....  저쪽에 목숨줄 잡혀있다.
그만큼 뒷꾸녕이 구리다구요🤬😡🤬😱
그리고 이재명은 정.통(정동영과통하는사람들)의 회장출신으로 정계입문했듯, 민주당사람아님!!!!!
민중당색 이지. 나가라 쫌"
"[뉴스하이킥] 장성철 ""정세균 꿈 깨라"", ""서병수 의원 자격 없어""",2021-04-26 19:31:00,계해,2021-04-26 22:26:00,"지들끼리  쇼하고있네
뭔 이재명을 위해 조언하는 거면
따로 만나서 하던가
뭔 전파 낭비!!

민심도 모르고   당원들 당심도 모르는듯
이낙연   지지자가 얼마나 많은데..

응답률 5~6%  지지율 가지고  무슨."
"[뉴스하이킥] 장성철 ""정세균 꿈 깨라"", ""서병수 의원 자격 없어""",2021-04-26 19:31:00,윤덕수010 4424 9119,2021-04-26 22:24:00,꿈속에서나  쭈욱 살길 깨어나지말고
"[뉴스하이킥] 장성철 ""정세균 꿈 깨라"", ""서병수 의원 자격 없어""",2021-04-26 19:31:00,버들지기,2021-04-26 21:44:00,장성철. 촌놈이 수필쓴다고. 너는 마을리장도 힘들어
"[뉴스하이킥] 장성철 ""정세균 꿈 깨라"", ""서병수 의원 자격 없어""",2021-04-26 19:31:00,그저 웃지요...,2021-04-26 21:34:00,"장성철???
왠 듣보잡이  개소리를 하고 있나?
아니,
개가 사람소리를 하고 있나?"
"[뉴스하이킥] 장성철 ""정세균 꿈 깨라"", ""서병수 의원 자격 없어""",2021-04-26 19:31:00,이현종,2021-04-26 21:23:00,"성철이
잎좀다물고제발나오지마세요"
"[뉴스하이킥] 장성철 ""정세균 꿈 깨라"", ""서병수 의원 자격 없어""",2021-04-26 19:31:00,티파니,2021-04-26 20:53:00,정세균 후보 측에서는 이번에 제대로 한 번 이재명하고 각을 세우자. 그래서 옛날에 형수한테 욕했던 거 육성으로 다 틀어버려서 그냥 흠집 내겠다 이런 식의 생각도 하고 있다고 건너건너 전해 들었거든요. -⟩ 누구든 필요할 때 써먹겠지. 이재명이 따라 다니던 정동영이 노인 비하 발언으로 훅 갔는데 그 정도 욕설은 회생 불가임. 그래서 당원들이 이재명을 결사 반대하는 거. 막상 후보되면 뽑을 거다? 천만에. 문재인 대통령님을 지키지 않을 게 뻔한데 왜 뽑나? 이재명이 돼도 정권 교체나 마찬가지인데. 그러니 꿈깨라.
