제목,날짜,작성자,작성일,댓글
"이태규 ""안철수, 야권 대선후보 경선에서 빠지면 흥행 안 될 것""",2021-04-19 10:36:00,Justso*,2021-04-19 12:08:00,"이태규,

정치의 첫발을 민주당에서 시작한 이후에
수 많은 정당을 네 입맛에 따라 갈아타며, 결국
안철수의 충실한 내시로 안착하더니, 부끄럼을
모르고 아부로 안달이 났구나.

골이 없는 무뇌충인 건 짐작햇지만, 꼴에 상전을
모시는 자세는 길거리 똥개가 부러워할 만하다.

혹시,
집구석에 들어가면, 여편네외 새끼들이 네 쌍판을
유심히 보지 않던......??

그 많은 인재를 서슴없이 내치던 안철수가 왜 너깉은
무노충을 옆에 끼고 잇는 지, 이제야 감이 온다.

ㅋㅋㅋㅋ"
[정참시] 대선주자도 한다는 눈썹 문신…그런데 불법이라고?,2021-05-06 21:05:00,이병*,2021-05-08 00:39:00,"여기서 궁금한건 시술 잘 하지도 안는 의사들이 왜 반대했을까??
정말 국민의 건강이 염려되서??"
[정참시] 대선주자도 한다는 눈썹 문신…그런데 불법이라고?,2021-05-06 21:05:00,석윤*,2021-05-07 09:47:08,"많은 사람들이 한국인의 특성을 이렇게 말한다
성질이 급하고 남이 잘되는 것에 질투 시기심이 많고 지역이기심이 강하다
사회적 약자에게 배려심이 적고 권력자와 부자들이 욕심이 많다
타투불법은 전 세계 단 하나뿐인 우리나라만 있는 기이한 현상으로 한국인의 특성을 잘 보여주고 있다
타투는 "" 의료계의 욕심만 있을뿐 사회적 약자와 국민에 대한 배려심이 전혀 없다"""
[정참시] 대선주자도 한다는 눈썹 문신…그런데 불법이라고?,2021-05-06 21:05:00,이은*,2021-05-07 08:16:16,하루빨리 제도가 마련 되어야 서로 보호를 받을수 있겠네요
"[한국갤럽] ""대선주자 선호도 이재명 25%, 윤석열 22%""",2021-05-07 11:17:00,3495780*,2021-05-07 19:32:50,"윤석열·김정숙·문재인이 박원순 살해 혐의로 입건돼 범죄 피의자가 됐다

박원순 사인은 전신이 허공에 매달린 질식사(목 졸림)다 이때 심장 박동이 정지되면 중력 작용으로 혈액이 몸 아래쪽 모세혈관 내로 침강하면서 자줏빛 반점이 시체의 손끝 발끝 다리 아래쪽에 생긴다 그러나 시신에는 반점이 뒷덜미 허리 등 허벅지에 나타나 있다 즉 타살된 뒤 옮겨진 것이다
https://blog.naver.com/cnamsung/222170443857"
"[한국갤럽] ""대선주자 선호도 이재명 25%, 윤석열 22%""",2021-05-07 11:17:00,최재*,2021-05-07 12:14:51,영부인 후보 선호도는 없나? 쥴리가 몇 등인고?
"원희룡 ""중도 지지 얻을 수 있는 후보는 바로 나""",2021-05-12 13:22:00,hongs*,2021-05-12 14:40:54,"신라젠으로드러난, 윤석열 의 정체; 사기탄핵의 주범 이고, 문정권 의 똘만이 충견 !.
이재명 킬러 윤희숙 이 대권 잡는다 ! *윤희숙; 대한민국 대통령 후보 추천 ,　국민의힘당 대표로추천, 대한민국 보수 우파 여러분 ! *윤희숙 -vs- 최재형-vs-윤석열 , 누구를 대통령 으로 원하십니까 ? *윤희숙; 대한민국 대통령 후보 추천 ,　국민의힘당 대표로추천합니다 ! 　*윤희숙 은 , 세계 정치 경제의중심지 뉴-욕의, 세계명문대학 컬럼비아 대학교 경제학 박사 , * 한국최고 엘리트들의 집산지KDI 국제정책대학원 교수 출신 , 　　　* 제21대 국회의원(서울 서초구 갑) 　서울대학교 경제학 학사, 석사, * 여 야 막논하고 대한민국의 호프 윤희숙　, 거물출현 ! *참신한 윤희숙 의원 , 국민의힘 당대표에 출마하는 패기 와 자신감 능력 ! *박근혜탄핵 과 무관한 신세대 인물입니다 . *윤석열 은 박근혜 엉터리 탄핵의 핵심수사요원이엇다!. 즉 2016년 12월 ~ 2017년 5월, 박근혜 정부의 국정농단을위한, 박영수 특별검사팀장밑에서 국정농단 박근혜 의 탄핵 핵심을 찾아내는 수사팀장 , 박근혜 엉터리탄핵으로 수사한 핵심수사요원 이다. *손석희는 JTBC 사장으로 고영태와함께 국정농단을 조작, 엉터리기사 기사공장역활 의 핵심인물이다. *Charles Kim、4월 27일 오전 7:16 •공유 게시의요지, (글 : 강석두 / 포항공대 교수) (사진 : 역사에 기록 될 두 남자 /법조대표 윤석열 전검찰총장 과 엉터리언론대표 손석희 JTBC 사장)

https://www.*****be.com/watch?v=GnzIYT66vV4&t=1s"
"안철수 ""이번 재보선은 교두보…대선·지방선거도 야권이 승리해야""",2021-04-08 10:22:00,양동*,2021-04-09 11:24:53,안철수야 정치꾼에서 그냥 찌그러지고 학교로 돌아가서 후진양성에 매진해라. 그것이 너의 가치성이다.
[정참시] '흘러간 물' 팔공산만 올라 VS '철부지들' 뒷산만 다녀,2021-05-13 21:01:00,이상*,2021-05-14 11:27:25,"이준석이 처음엔 신선했는데 박근혜대통령 탄핵때 찬성하고 탈당한거보고 아니라고 느꼈다.
리더는 미래에 대한 희망도 있어야지만 하늘이 무너져도 듬직한 냉정함도 있어야한다.
너무 젊어서 그런가 가볍게 느껴진다."
[정참시] '미미한' 이재명?…'우려봇' 이낙연?,2021-05-11 21:01:00,김명*,2021-05-12 14:29:07,"차기대통령은 이낙연이다. 오직 이낙연
품격의정치! 어떠한 경우라도 막말하는 대통령은 원하지도 바라지도 않는다.
오직 이낙연만을 적극 지지하고 응원합니다."
