제목,날짜,작성자,작성일,댓글
"정세균, '대선 몸풀기' 오늘 故 노무현 대통령 묘역 참배",2021-04-25 07:13:00,Jay Ki*,2021-04-26 10:43:10,"정세균씨, 주제 넘게 욕심이 많구려...행여나 당신이 이재명 아니 이낙연 이라도 경선에서 이길 수 있다고 보시나요? ㅋ"
부동산으로 번진 신경전…대선 후보급 세 과시,2021-05-11 20:49:00,박봉*,2021-05-11 22:18:15,우물안 개구리들에합창..포플리즘삼총사..대한민국국민들이바보냐?
"정세균, 다음달 초 대선출마 예고…""경제 전문성 차별화""",2021-04-21 09:38:00,강영*,2021-05-04 17:00:10,이재명이 있는데 정총리는좀 약해요
"정세균, 다음달 초 대선출마 예고…""경제 전문성 차별화""",2021-04-21 09:38:00,5524274*,2021-04-21 11:07:56,"* 확실한 백신은------

〈 전 도 〉
** 윔(主, LORD) 야수아를 믿으면 하늘나라 --- ↑
안 믿으면 지옥 ----- ↓

** 윔(主, LORD) 야수아를 믿어라, 그러하면 너와 네 가족이 건져질 것이다. (행 16:31)

* 그 말씀을 믿고 따르는 이들에게는 윔(主, LORD)님의 베풂이 있을 것입니다.

* 사람을 보고 야수아를 믿지 말고, 야수아를 보고 야수아를 믿으십시요."
"정세균, 다음달 초 대선출마 예고…""경제 전문성 차별화""",2021-04-21 09:38:00,허*,2021-04-21 10:32:17,거.. 되도 않는 얘기 하지 말고 조용히 계세요. 박수칠때 가만히 있는것도 상책 인겁니다.
"정세균, 다음달 초 대선출마 예고…""경제 전문성 차별화""",2021-04-21 09:38:00,조주*,2021-04-21 10:12:46,무슨..................그냥 현재의 위치를 지켜라.. 그정도가 딱이다...
"이재명, 대선 경선 연기 반대…""원칙대로 하면 조용하고 합당""",2021-05-12 15:11:00,정 광*,2021-05-13 20:49:46,똑부러지는소리는 못할까 꼭여운을깔고 문빠들이무섭다
"정세균, 봉하마을 방문 ""노무현 미완의 꿈 완성하겠다""",2021-04-25 19:44:00,Justso*,2021-04-25 21:49:48,"웃긴다.

그래ㅡ서, 웃는다."
[정참시] '미미한' 이재명?…'우려봇' 이낙연?,2021-05-11 21:01:00,김명*,2021-05-12 14:29:07,"차기대통령은 이낙연이다. 오직 이낙연
품격의정치! 어떠한 경우라도 막말하는 대통령은 원하지도 바라지도 않는다.
오직 이낙연만을 적극 지지하고 응원합니다."
[정참시] '미미한' 이재명?…'우려봇' 이낙연?,2021-05-11 21:01:00,김*,2021-05-12 14:14:09,"우리의 선택은 이낙연뿐*
이재명지사와 비교불가~
내삶을 지켜주는 나라
이낙연이 함께합니다"
'경선 연기론' 충돌…'도로 영남당'에 첫 일정 호남,2021-05-07 20:22:00,박석*,2021-05-08 07:51:11,"잘하고 있습니다...그리고 민주당,어제 기사에 광주사태때 광주 내려갔다는 탈북민 완전 거짓말이던데 그것도 문제 삼지 않을거냐?그것마저 손놓고 수수방관하는 식물정당 될거냐?그럼 니들은 구쾌의원에 불과하다.
참이 거짓에게 지는 현상을 바라보는 송영길 당대는 뭣하고 있는건지 ...기러기 아빠 들먹이지 말고 그런것에 대한 확실한 의견을 표해야 하는것 아냐?그동안 보였던 민주화에 대한 의견이 다 거짓인 의원이였나?언론개혁에 대한 과감한 손질을 해야 맞는것 아냐?"
'경선 연기론' 충돌…'도로 영남당'에 첫 일정 호남,2021-05-07 20:22:00,ibpi9sn5t*,2021-05-08 06:32:43,"전재수는 쓸데 없는 소리 말고 국민 여론을 따르라.
민형배 말을 세겨 듣고 냉수나 여덟 사발 들이키고 자숙하삼.
중2급 자아과잉 수준이네."
'경선 연기론' 충돌…'도로 영남당'에 첫 일정 호남,2021-05-07 20:22:00,박선*,2021-05-08 05:49:08,"유튜브에서 131270thebest를 검색 시청하시면 신의 존재증명,천국과 지옥, 축복과 저주, 기도하는 방법, ** 받는법, 유일신,악의 존재이유, 요한계시록 이긴자와 144000, 최후의 심판, 양심과 **, 정의, 등등 설명을 들을 수 있습니다"
