제목,날짜,작성자,작성일,댓글
"[정참시] 황교안 ""1천만 개 백신 부탁""…윤건영 ""얼굴 화끈거려""",2021-05-12 21:02:00,정상*,2021-05-17 13:03:06,무지의순서?
"[정참시] 황교안 ""1천만 개 백신 부탁""…윤건영 ""얼굴 화끈거려""",2021-05-12 21:02:00,임광*,2021-05-17 01:01:04,"지가 뭐라고 가서 상거지짖을 하고오냐?
저능아들같아."
"[정참시] 황교안 ""1천만 개 백신 부탁""…윤건영 ""얼굴 화끈거려""",2021-05-12 21:02:00,오영*,2021-05-16 14:08:48,누구든 백신 구해오면 좋겠어요
"[정참시] 황교안 ""1천만 개 백신 부탁""…윤건영 ""얼굴 화끈거려""",2021-05-12 21:02:00,이창*,2021-05-16 11:15:38,"교활한시끼
목사딱어울린다"
"[정참시] 황교안 ""1천만 개 백신 부탁""…윤건영 ""얼굴 화끈거려""",2021-05-12 21:02:00,정덕*,2021-05-13 22:36:43,"황교안그릇이 이정도 밖에 안된사람이 무슨대선출마한다고, 그냥교회나 다니세요~"
"[정참시] 황교안 ""1천만 개 백신 부탁""…윤건영 ""얼굴 화끈거려""",2021-05-12 21:02:00,김도*,2021-05-13 17:52:09,"황교안씨 당신은 역시 대한민국 국민들의 기대를 져버리지 않는 군요. ㅎㅎㅎㅎ
정말 한심하기 짝이 없네.. 어떻게 매번 한심한 짓을 골라 할 수 있을까?? 대단해 이 사람!! ㅋㅋ"
"[정참시] 황교안 ""1천만 개 백신 부탁""…윤건영 ""얼굴 화끈거려""",2021-05-12 21:02:00,신광*,2021-05-13 12:48:44,아니 국힘당 지자체장이 있는 곳만이라도 백신을 달라니....이게 무슨 말이냐 방귀냐....일부러 저러는거지? 웃길려고...
"[정참시] 황교안 ""1천만 개 백신 부탁""…윤건영 ""얼굴 화끈거려""",2021-05-12 21:02:00,김태*,2021-05-13 08:46:12,"황교안 야는 무슨생각으로 사는지
국익에는하나도 도움이안되는언행을하고 댕기내
야는 지 집안일도 남이 해주길 바라나
이런 머리로 정치한다꼬 에라이
거기 간김에 오지말고 거기서 살아라"
"[정참시] 황교안 ""1천만 개 백신 부탁""…윤건영 ""얼굴 화끈거려""",2021-05-12 21:02:00,박재*,2021-05-12 22:15:30,"앗 당신도 요청했군요.
저도 어젯밤 미국 상인 제임스와 통화에서 코로나 백신 1억명분
지원 요청하여 긍정적 검토 하겠다는 답 들었습니다."
[정참시] 돌아온 황교안…'도로한국당' 논란인데,2021-04-26 21:00:00,노승*,2021-04-29 18:04:35,"신천지 부패의 힘 1.2.3 다 있네 놀기 좋컷
따...."
[정참시] 돌아온 황교안…'도로한국당' 논란인데,2021-04-26 21:00:00,김태*,2021-04-27 09:05:16,심심한가베
[정참시] 돌아온 황교안…'도로한국당' 논란인데,2021-04-26 21:00:00,박현*,2021-04-27 08:39:28,그냥 사라져도 되는데 굳이 왜 왔나....
[정참시] 돌아온 황교안…'도로한국당' 논란인데,2021-04-26 21:00:00,고숙*,2021-04-26 23:42:54,"환고환이 잘나왔다, 그래야 친일역적당 다운거다."
[정참시] 경선 연기론 '솔솔'…이재명의 선택은?,2021-05-05 20:58:00,Ong Y*,2021-05-05 23:21:19,"윤석열과 최성해의 그동안 알려지지 않은 새로운 내용들이 전격 공개됩니다.

https://www.*****be.com/c/열린공감TV/

1. ‘최성해, 측근에 윤석열과 점심 먹었다고 말하고 다닌 것 인정’ 육성 공개
2. 검찰 정식 참고인조사 때 말고 또 다시 비공개로 검찰에 갔다.
3. 공병호 비례 한국당 공천심사위원장과 만난 사실 있다."
[정참시] 경선 연기론 '솔솔'…이재명의 선택은?,2021-05-05 20:58:00,3495780*,2021-05-05 22:42:40,"윤석열·김정숙·문재인이 박원순 살해 혐의로 입건돼 범죄 피의자가 됐다

박원순 사인은 전신이 허공에 매달린 질식사(목 졸림)다 이때 심장 박동이 정지되면 중력 작용으로 혈액이 몸 아래쪽 모세혈관 내로 침강하면서 자줏빛 반점이 시체의 손끝 발끝 다리 아래쪽에 생긴다 그러나 시신에는 반점이 뒷덜미 허리 등 허벅지에 나타나 있다 즉 타살된 뒤 옮겨진 것이다
https://blog.naver.com/cnamsung/222170443857"
