제목,날짜,작성자,작성일,댓글
"[뉴스하이킥] ""송영길 · 윤호중, 케미 안 맞으면 황교안 · 나경원처럼 산으로 갈 것""",2021-05-03 19:50:00,윤세환,2021-05-03 23:07:00,"이미 하루 지나고 있는데 산으로 가고있다.
쓰레기가 패거리 정치만 안하면 되는데 그럴리가 없지."
"[뉴스하이킥] ""송영길 · 윤호중, 케미 안 맞으면 황교안 · 나경원처럼 산으로 갈 것""",2021-05-03 19:50:00,Willow Ryu Soon-Kee,2021-05-03 22:58:00,"장성철군은 거론할 가치없고, 한걸레짓하고 있는 김보협이도 많이컸네..."
"[뉴스하이킥] ""송영길 · 윤호중, 케미 안 맞으면 황교안 · 나경원처럼 산으로 갈 것""",2021-05-03 19:50:00,별거없다잉,2021-05-03 22:02:00,"정경심교수 표창장 무죄라늗 증거를 넘어서 검찰의 조작이라는 증거가 다 나왔음에도 보도를 안하냐? Mbc 뭐합니까?
대구 mbc만 보도하고 대통령이 시민 신고했다는 가짜뉴스도 왜 보도를 안합니까? 팩트체크 해줘야지... 요즘 mbc 돌아가는게 이상하게 돌아가는데 진실보도 약속 시키세요 시민들과 했던 약속"
"[뉴스하이킥] ""송영길 · 윤호중, 케미 안 맞으면 황교안 · 나경원처럼 산으로 갈 것""",2021-05-03 19:50:00,joyse,2021-05-03 21:50:00,"만 나 면 좋 만 친이 이인구, 
엠비시 무운하와 바앙 쏭오옹,
시중이 앞세워 MB가 언론 조질 떄
MBC 기자들은 뭐하고 있었지?
MB Company!"
"[시선집중] 윤건영 ""더민초 '최소 1명 낙마'? 숫자가 아니라 문제점 정확히 지적했어야""",2021-05-13 09:55:00,Bon and me,2021-05-14 08:34:00,"민물고기 바다????
미쳣냐? 기존 쓰레기 악취나는 너희와 놀게?
국민은  공정과 상식 바래 윤석열 원하는데...??"
"[시선집중] 윤건영 ""더민초 '최소 1명 낙마'? 숫자가 아니라 문제점 정확히 지적했어야""",2021-05-13 09:55:00,해피타임,2021-05-13 11:04:00,분란만 일으키는 초선의원들
"[시선집중] 윤건영 ""더민초 '최소 1명 낙마'? 숫자가 아니라 문제점 정확히 지적했어야""",2021-05-13 09:55:00,Sunni,2021-05-13 11:02:00,"초선 수준이 왜 초딩수준이냐.
ㅉㅉㅉ"
"[시선집중] 윤건영 ""더민초 '최소 1명 낙마'? 숫자가 아니라 문제점 정확히 지적했어야""",2021-05-13 09:55:00,주실인,2021-05-13 10:10:00,이런 강경파  때문에 민불당은 민심의 눈에서 멀어져 가는것이다. 대통령은 더얻을것이없겠지만 민불당은 정권심판의 외침에 직면하게 될것이다. 기울어진 민심에  결국은 패가망신으로 기기에 충분하다
"[시선집중] 윤건영 ""더민초 '최소 1명 낙마'? 숫자가 아니라 문제점 정확히 지적했어야""",2021-05-13 09:55:00,medic66,2021-05-13 10:03:00,"같은 의건 시장 흥정하냐 ? 같은 당에서..
차리리 3명다 무슨 무슨 결격 사유로 안됨 했으면 이해냐 간다...
니네가 신경 쓰는 그 민심은 니네당 안찍어 니네 당선 되는데 전혀 도움 안됨
안철수 똘마니들은 지금이라도 따라 가고"
"[시선집중] 윤건영 ""더민초 '최소 1명 낙마'? 숫자가 아니라 문제점 정확히 지적했어야""",2021-05-13 09:55:00,유지승,2021-05-13 10:00:00,"초선들이 당의 지지율이 하락하니까 뭐라도 해야겠다는 심정은 이해하나
너무 생각없이 여론에 휩쓸려서 걱정이네요...이런 초선들은 어차피 다음 선거때 투표로 
심판을 받겠지만 나름 엘리트들인데 그들의 머리에서 나왔다는게 고작 이정도라니 민망합니다"
