제목,날짜,작성자,작성일,댓글
[정참시] '미미한' 이재명?…'우려봇' 이낙연?,2021-05-11 21:01:00,김명*,2021-05-12 14:29:07,"차기대통령은 이낙연이다. 오직 이낙연
품격의정치! 어떠한 경우라도 막말하는 대통령은 원하지도 바라지도 않는다.
오직 이낙연만을 적극 지지하고 응원합니다."
[정참시] '미미한' 이재명?…'우려봇' 이낙연?,2021-05-11 21:01:00,김*,2021-05-12 14:14:09,"우리의 선택은 이낙연뿐*
이재명지사와 비교불가~
내삶을 지켜주는 나라
이낙연이 함께합니다"
부동산으로 번진 신경전…대선 후보급 세 과시,2021-05-11 20:49:00,박봉*,2021-05-11 22:18:15,우물안 개구리들에합창..포플리즘삼총사..대한민국국민들이바보냐?
'대선 출마' 이낙연 당 대표 사퇴…이재명은 응원,2021-03-10 07:16:00,777457*,2021-04-12 20:07:37,나견이가 홀라당 말아 먹고 가는구나 에혀라 디여~~~~
'대선 출마' 이낙연 당 대표 사퇴…이재명은 응원,2021-03-10 07:16:00,2944717*,2021-03-11 11:20:52,국짐 자체를 시러함 윤내세워 LH사태처럼 땅투기 나 하려는 쥐세끼집단!
'대선 출마' 이낙연 당 대표 사퇴…이재명은 응원,2021-03-10 07:16:00,조정*,2021-03-10 11:18:20,문재인 정부 기간 동안 야당은 바닥으로 추락한 당 지지율 끌어올리겠다고 여당 발목 잡고 예나 지금이나 다름이 없는 네거티브 전략만 고수했지 정작 대선후보들 준비는 하고 있었냐. 이제 1년밖에 남질 않았는데 도대체 어떤 인물이 나올 수 있을까. 야당에 인물이 없으니 윤석열만 죄다 빨고 있는거 아냐. 윤석열이 야당 인물이냐? 윤석열이 집권하면 니네 뜻대로 조종할 수 있을 것 같냐? 아니올시다. 구김당은 예나 지금이나 헛다리 짚고 헛발질 하는 건 변함이 없다. 그러니 국민들에게 신뢰를 못 주지.
'대선 출마' 이낙연 당 대표 사퇴…이재명은 응원,2021-03-10 07:16:00,강형*,2021-03-10 09:59:59,그네 나오게 할까봐 안찍을란다.
'대선 출마' 이낙연 당 대표 사퇴…이재명은 응원,2021-03-10 07:16:00,정두*,2021-03-10 09:52:50,"이런 무능한 놈이 대선주자라구? 참 한심한 놈들이 감히 무능한 주제에 나라를 이끌겠다고 서로 쓰레기들끼리 뭉쳐서 이익을 나눠먹으려고?? 정권을 구더기똥당에 넘기는 것은 상상도 하기 싫지만, 이런 무능한 놈이 나라를 이끌게 된다면 그 또한 끔찍하다 이 잡놈아."
"이낙연, 경선연기론에 ""당이 빠른 시일내에 정리해야""",2021-05-10 09:58:00,3495780*,2021-05-10 11:02:47,"윤석열·김정숙·문재인이 박원순 살해 혐의로 입건돼 범죄 피의자가 됐다

박원순 사인은 전신이 허공에 매달린 질식사(목 졸림)다 이때 심장 박동이 정지되면 중력 작용으로 혈액이 몸 아래쪽 모세혈관 내로 침강하면서 자줏빛 반점이 시체의 손끝 발끝 다리 아래쪽에 생긴다 그러나 시신에는 반점이 뒷덜미 허리 등 허벅지에 나타나 있다 즉 타살된 뒤 옮겨진 것이다
https://blog.naver.com/cnamsung/222170443857"
차기 대선주자 선호도 윤석열 32%·이재명 23.8%·이낙연 9.0%,2021-05-03 09:46:00,박현*,2021-05-10 19:55:20,윤석렬은 굴곡이 심하네... 그에 비해 이재명은 꾸준히 상위권이고. 2500명 조사는 어느 지역에 치중하느냐에 따라 많은 차이를 보일 텐데. 그리고 여론조사라며 전화 오는데 그게 받아주는 사람 이제 거의 없다. 40대인 나도 그냥 끊는다. 그거 받아서 조사 참여하는 연령층 알만 하지? 정작 투표하면 저건 무조건 이재명 당선이야...
차기 대선주자 선호도 윤석열 32%·이재명 23.8%·이낙연 9.0%,2021-05-03 09:46:00,강영*,2021-05-04 16:55:08,윤석렬이는 장모 마누라 사기사건 무마로 감빵가야 할것 같은데..
차기 대선주자 선호도 윤석열 32%·이재명 23.8%·이낙연 9.0%,2021-05-03 09:46:00,이현*,2021-05-04 11:53:52,"윤석렬 대선판에서 처가 가족들 비리 까발려지겠구나

의혹이네 수사중이네 무혐의네 그런건 의미없다

검찰때 니들이 하던 언플로 한번 당해봐라

대선 끝까지 완주하길 간절히 소망한다"
차기 대선주자 선호도 윤석열 32%·이재명 23.8%·이낙연 9.0%,2021-05-03 09:46:00,3495780*,2021-05-03 18:36:22,"윤석열·김정숙·문재인이 박원순 살해 혐의로 입건돼 범죄 피의자가 됐다

박원순 사인은 전신이 허공에 매달린 질식사(목 졸림)다 이때 심장 박동이 정지되면 중력 작용으로 혈액이 몸 아래쪽 모세혈관 내로 침강하면서 자줏빛 반점이 시체의 손끝 발끝 다리 아래쪽에 생긴다 그러나 시신에는 반점이 뒷덜미 허리 등 허벅지에 나타나 있다 즉 타살된 뒤 옮겨진 것이다
https://blog.naver.com/cnamsung/222170443857"
차기 대선주자 선호도 윤석열 32%·이재명 23.8%·이낙연 9.0%,2021-05-03 09:46:00,박현*,2021-05-10 19:56:25,멍멍?
차기 대선주자 선호도 윤석열 32%·이재명 23.8%·이낙연 9.0%,2021-05-03 09:46:00,한은*,2021-05-11 01:30:31,"태극기 부대 대원이신거 같은데 선은 지키세요.
너무 흉합니다. 부끄러운줄 아세요."
차기 대선주자 선호도 윤석열 32%·이재명 23.8%·이낙연 9.0%,2021-05-03 09:46:00,전경*,2021-05-03 15:34:01,결혼전이라고 치자 공모를 같이 했다고 트집잡는것도 아니고 제대로 수사를 해달라는 얘기 그럼 떳떳하잖아
