제목,날짜,작성자,작성일,댓글
새 국무총리 김부겸…내각·청와대 동시 개편,2021-04-16 19:52:00,김태*,2021-04-17 11:54:22,김부겸 총리는 적당하다
새 국무총리 김부겸…내각·청와대 동시 개편,2021-04-16 19:52:00,박선*,2021-04-17 07:09:27,"유튜브에서 131270thebest를 검색시청하시면 신의 존재증명, 천국과 지옥, ** 받는법, 기도하는법, 성령 받는법, 악의 존재이유, 요한계시록, 이긴자와 144000, 유일신, 정의, 유일신, 양심과 **, 최후의 심판, 축복과 저주, 등등 설명을 들을 수 있습니다"
새 국무총리 김부겸…내각·청와대 동시 개편,2021-04-16 19:52:00,김재*,2021-04-16 22:21:46,"이철희 임명은 임기말에 실수라고 생각한다.
잘하길 바라지만 이철희는 자기가 잘나서 임명되었다고 생각해서
문재인 대통령과 각만 세우면 되는줄 알 것이다.
노 할 수 있는 참모가 되겠다? 노 만 하면 되냐?
윤석열 잘못 기용해서 얼마나 힘들고 지금껏 이 모양이다.
원외에서 민주당 과 문재인 비난했으면 임명에 대해서 고사 했어야지....
이철희 정말 잘못된 인사라고 본다."
새 국무총리 김부겸…내각·청와대 동시 개편,2021-04-16 19:52:00,배도*,2021-04-16 21:58:36,선관위 조해주 부정~선거 전문가 사퇴안시키면 ---- 정권교체 안됩니다. 주호영 선거법 개정해라.주둥~아리만 놀리지마라.
새 국무총리 김부겸…내각·청와대 동시 개편,2021-04-16 19:52:00,양광*,2021-04-17 05:00:52,너 혼자만의생각이다.
"라임펀드 특혜?…""제가 알 수 없는 영역""",2021-05-07 17:02:00,3495780*,2021-05-07 19:31:31,"윤석열·김정숙·문재인이 박원순 살해 혐의로 입건돼 범죄 피의자가 됐다

박원순 사인은 전신이 허공에 매달린 질식사(목 졸림)다 이때 심장 박동이 정지되면 중력 작용으로 혈액이 몸 아래쪽 모세혈관 내로 침강하면서 자줏빛 반점이 시체의 손끝 발끝 다리 아래쪽에 생긴다 그러나 시신에는 반점이 뒷덜미 허리 등 허벅지에 나타나 있다 즉 타살된 뒤 옮겨진 것이다
https://blog.naver.com/cnamsung/222170443857"
"라임펀드 특혜?…""제가 알 수 없는 영역""",2021-05-07 17:02:00,ChanS You*,2021-05-07 17:30:00,정말 기가 막히다. 쪽꾹이 마누라가 사모펀드질한다고 했을때 왜 야단 난리를 쳤는지 여실히 그이유를 보여주는 사례다. 사모펀드가 정치권력자들과 연계되면 어떻게 뇌물이 되는지... 라임피해자 대표가 참고인진술을 하다가 울먹이는 걸 보니 정말 기가 막혔다. 부겸이 이 호박씨가 행안부장관시절에 이 정도 였는데 총리하면 어떻겠나? 맹숙이는 맹해서 수표로 받다가 걸레가 됐지만 부겸이는 썰대나와서 쪽꾹이보다 머리 쫌더 써서 안걸리게 사모뻔드 설계해서 잘먹고 잘살겠지한다. 정말 기가 막히다. 입만 뜬 나쁜넘... 대통령 아들이 재난지원금
"라임펀드 특혜?…""제가 알 수 없는 영역""",2021-05-07 17:02:00,ChanS You*,2021-05-07 17:31:24,대통령 아들이 재난지원금을 재난4줄능력20페이지로 재난장학금으로 둔갑시켜 띵긴 1400만원정도는 애교였어... 부겸이가 공부 학실히 시켜준다. 역시 과외는 썰대것들이 잘해...
코로나 대응 전략 점검…'인적 쇄신' 본격화,2021-04-12 06:29:00,3495780*,2021-04-12 10:44:29,"박원순 살해범을 찾아냈다 -청와대 행정관이다
박 시장의 사인은 전신이 허공에 매달린 질식사(목 졸림)다. 이때 심장 박동이 정지되면 중력 작용으로 혈액이 몸 아래쪽 모세혈관 내로 침강하면서 자줏빛 반점(시반)이 시체의 손끝, 발끝, 다리 아래쪽에 생긴다. 그러나 박 시장의 시신에는 시반이 뒷덜미, 허리, 등, 허벅지에 나타나 있다. 즉 타살된 뒤 옮겨진 것이다. https://blog.naver.com/cnamsung/222170443857"
코로나 대응 전략 점검…'인적 쇄신' 본격화,2021-04-12 06:29:00,배도*,2021-04-12 09:31:25,"문정인!!! 한미동맹파괴하자는 예기인데---- 니놈대안은 뭐야? 교수가면을쓰고
북한 앞잡이 노릇하는 한심한놈!!! 북한가서 살아라. 뭉가똥개."
코로나 대응 전략 점검…'인적 쇄신' 본격화,2021-04-12 06:29:00,한슬마*,2021-04-12 08:39:55,"** 대통령 임기를 고정하지 말고 홀수 해에 종합 평가해서 미달이면 그 해로 끝내고,
평가가 높으면 9년까지 연장 할 수 있게 제도를 만들어야 한다.

이 제도라면 현 정권은 1년이나 3년에 종합평가해서 평가가 무척 낮아 물러났어야 했다."
