제목,날짜,작성자,작성일,댓글
박용진 대선출마 선언 “윤석열·이재명 나와”,2021-05-09 13:47:00,ksmoon5207,2021-05-10 04:18:38,대권(大權) 도전을 선언(宣言)한 국회의원 박용진에게 고(告)한다. 정치인이 대통령 꿈을 꾸지 않는 사람이 누가 있으리오마는 구상유취(口尙乳臭)란 말을 하고 싶다. 노이즈 마케팅으로 끝나지 말고 최후의 일각까지 최선을 다하라.
박용진 대선출마 선언 “윤석열·이재명 나와”,2021-05-09 13:47:00,Theone,2021-05-10 00:14:08,용진아 먼저 허경영 이기고와라~~~
박용진 대선출마 선언 “윤석열·이재명 나와”,2021-05-09 13:47:00,오늘도 난,2021-05-09 23:29:21,ㅋㅋ 꼴뚜기들 다 뛰는 거야 망둥어들이 먼저 뛰니까 꼴뚜기들이 뛰네 ㅋㅋ 이젠 너네들 잡아먹을 고래가 나오면 된다 알겠니 고래 출몰을 기대하시라 !!
박용진 대선출마 선언 “윤석열·이재명 나와”,2021-05-09 13:47:00,바른마음,2021-05-09 22:03:00,건방이 하늘을 찌르는구나.ㅋㅋㅋ 극좌운동권 종북정권은 입만 떼면 오만방자하거나 거짓말을 입에 달고 산다. 여기가 김정은 나라냐?
박용진 대선출마 선언 “윤석열·이재명 나와”,2021-05-09 13:47:00,lwk1090113,2021-05-09 21:44:19,마포 정걸래도 대선출마하겠네...?
박용진 대선출마 선언 “윤석열·이재명 나와”,2021-05-09 13:47:00,광해대왕,2021-05-09 21:17:08,깜도 이닌자가
박용진 대선출마 선언 “윤석열·이재명 나와”,2021-05-09 13:47:00,sophist,2021-05-09 21:12:18,박용진은 아직 하산 할때가 아니다.정치수련을 적어도 앞으로 10년은 쌓아야지.민주당이 하도 인재가 없다보니 소나 개나 다 나오게 생겼다.두관이도 나온다네...허허..
박용진 대선출마 선언 “윤석열·이재명 나와”,2021-05-09 13:47:00,STONY,2021-05-09 20:17:07,"ㅈ,,,ㄲ,,,"
박용진 대선출마 선언 “윤석열·이재명 나와”,2021-05-09 13:47:00,netin,2021-05-09 20:02:10,"미안하지만
귀하는
관심밖..
개나소나"
박용진 대선출마 선언 “윤석열·이재명 나와”,2021-05-09 13:47:00,좌파박멸,2021-05-09 19:26:30,전라민국 대통령해서 국민들 깨어나게 해라~~~
박용진 대선출마 선언 “윤석열·이재명 나와”,2021-05-09 13:47:00,진상,2021-05-09 19:19:55,"쇄꺄 대선이 동네 반장선거냐
네놈이 낄 자리가아냐"
박용진 대선출마 선언 “윤석열·이재명 나와”,2021-05-09 13:47:00,사필귀정,2021-05-09 19:18:07,선착순 ㅋㅋㅋ
박용진 대선출마 선언 “윤석열·이재명 나와”,2021-05-09 13:47:00,닉네임 입력,2021-05-09 18:26:30,"뭔 일이래
동네 *가 짓는겨?"
박용진 대선출마 선언 “윤석열·이재명 나와”,2021-05-09 13:47:00,민트향기,2021-05-09 18:24:27,놀아라□~~
박용진 대선출마 선언 “윤석열·이재명 나와”,2021-05-09 13:47:00,일장춘몽,2021-05-09 18:21:31,한번해보시구려 그나마 더듬어만지투기당에서 바른말하고 빨강물이 덜든 사람이 바로 당신이라는 것을 알고 있소이다.
박용진 대선출마 선언 “윤석열·이재명 나와”,2021-05-09 13:47:00,pig,2021-05-09 18:16:55,"여러분 댓글생각에 너무
웃겨서 저녁을 못먹어요."
박용진 대선출마 선언 “윤석열·이재명 나와”,2021-05-09 13:47:00,pig,2021-05-09 18:10:58,"똥개, 나왔다.!!
사냥개, 진도개, 풍산개, 청와대에 있는
진짜 똥개나와!. 한판 붙자......"
박용진 대선출마 선언 “윤석열·이재명 나와”,2021-05-09 13:47:00,강한자,2021-05-09 17:54:16,동내 똥개가 웃다 넘어져 뇌진탕으로 황천갈라!
박용진 대선출마 선언 “윤석열·이재명 나와”,2021-05-09 13:47:00,LRomeo,2021-05-09 17:29:38,이석기를 석방하라면서 누더기 걸치고 피켓들고 설치던 애가 뭐라고? 반장 선거 나온다고?
박용진 대선출마 선언 “윤석열·이재명 나와”,2021-05-09 13:47:00,구름기둥,2021-05-09 17:05:32,이준석이 하고 도토리 키재기. 우리나라 코미디언 개그맨 다 굶어죽게 생겼다.
박용진 대선출마 선언 “윤석열·이재명 나와”,2021-05-09 13:47:00,한심한,2021-05-09 16:57:35,2030 표심 잡겠다는 전략인가 본데 들고 나온개 그게 정책이냐
박용진 대선출마 선언 “윤석열·이재명 나와”,2021-05-09 13:47:00,suktaewo,2021-05-09 16:54:06,박용진! 가서 젖이나 더 먹고 나와라!
박용진 대선출마 선언 “윤석열·이재명 나와”,2021-05-09 13:47:00,YPSung,2021-05-09 16:37:45,DOG나 COW나..
박용진 대선출마 선언 “윤석열·이재명 나와”,2021-05-09 13:47:00,판테라,2021-05-09 15:41:39,이재명이 부터 이기고 석열이형 찾아라..
박용진 대선출마 선언 “윤석열·이재명 나와”,2021-05-09 13:47:00,freezer,2021-05-09 15:21:05,바지사장으로 캐스팅 되셨어여? 근디 도대체 너거들 캐스팅은 누가 하는겨? 거기두 위원회여? 위원장님이 도대체 누구셔? 국민은 고걸 알고잡은데..
박용진 대선출마 선언 “윤석열·이재명 나와”,2021-05-09 13:47:00,내생각은..,2021-05-09 15:11:21,이놈도 정치병환자이군!! 불쌍한 놈!! 우리집 강아지도 출마시키면 되겠냐?
박용진 대선출마 선언 “윤석열·이재명 나와”,2021-05-09 13:47:00,하늘과땅,2021-05-09 14:38:10,별개 다 웃기네~~~ 내일모래 와라~~~
文 “윤석열은 유력 대선주자… 아무 말 않겠다”,2021-05-11 03:00:00,piggy,2021-05-11 11:11:11,검찰이 정와대 권력을 겁내면 큰일 날 일. 당연히 검찰은 청와대 권력뿐만 아니라 그 어떤 권력도 겁내선 안된다.
文 “윤석열은 유력 대선주자… 아무 말 않겠다”,2021-05-11 03:00:00,bt,2021-05-11 07:42:50,"문재인놈이 속쓰릴 것이다!
이재명놈은 지지율이 올라가는데 지놈이 밀고있는 이낙연놈은 지지율이 말이 아니지...
윤석열이는 지지율 1위라는 뉴스는 계속 뜨지...
윤석열이 대통되면 지놈의 가슴에 비수를 꼿을 수도 있는 사람인데 지놈편으로 만들 방법은 없지..."
"대선 적합도, 윤석열 31.2% 이재명 24.1%…동반 하락",2021-04-26 10:45:00,zilch,2021-04-26 19:49:02,김부선 형님 형수님 어머니!!
"대선 적합도, 윤석열 31.2% 이재명 24.1%…동반 하락",2021-04-26 10:45:00,빼빼사이먼,2021-04-26 16:25:18,이재명씨는 영리한 선동가입니다. 남미의 좌파 정치인을 닮았지요.
"대선 적합도, 윤석열 31.2% 이재명 24.1%…동반 하락",2021-04-26 10:45:00,패스포드,2021-04-26 16:10:57,이재명씨 김부선씨의 절규도 안들리는가요. 김부선씨가 정신 이상이 있는것은 아닌것 같고 문제는 당신한테 있는것 같네요. 한을 풀어 주고 뛰세요. 그래서 대통령 하라고 지지해 주면 그게 당신의 운명이요.
"대선 적합도, 윤석열 31.2% 이재명 24.1%…동반 하락",2021-04-26 10:45:00,bien,2021-04-26 13:31:41,"하룻밤을 자도 만리장성 쌓는다는데
꼴난 쌀 한가마도 안 주었다니
힘들게 쌓은 성도 허물어질 수 밖에."
"대선 적합도, 윤석열 31.2% 이재명 24.1%…동반 하락",2021-04-26 10:45:00,훈요십조,2021-04-26 12:39:24,"지위고하를 막론하고 국법을 준수하면 된다!
그러기에 법을 알아야만 국법을 더욱 준수할 수 있다!
국가를 위해서 국민을 위하여
윤 석 렬 전총장이 나서서 우리나라를 법대로 운영되는 선진국으로 만들어야 된다!"
"대선 적합도, 윤석열 31.2% 이재명 24.1%…동반 하락",2021-04-26 10:45:00,내생각은..,2021-04-26 12:14:06,어제 유튜브 보니 재명이가 모 여배우를 더듬었었다며??! 그런 인간이 어찌해서 적합도 2위에 올라 있어??! 동아닷컴도 걸레이구먼!!
"대선 적합도, 윤석열 31.2% 이재명 24.1%…동반 하락",2021-04-26 10:45:00,바른말,2021-04-26 11:52:05,차기 대통령은 여자문제 등 주변이 정리되지 않은 사람이 되지 못한다. 수신제가가 되지 않은 권모술수에만 능해서야 되겠는가? 정직하고 깨끗한 사람도 많고 많은데 우리가 지도자로 모셔야할 사람이 세계적으로 챙피한 이야기만 돌아야 다니면 되겠는가 하는 것이 솔직한 심정이다
윤석열은 정책 열공중…안철수는 野통합과 대선전략 구체화,2021-05-05 18:17:00,cherl123,2021-05-06 04:37:49,"검증이 무서버 최대한 늦게 등판해
그저 날것으로 먹으려고 ㅋ ㅋ ㅋ

쥴리가 누구냐?"
윤석열은 정책 열공중…안철수는 野통합과 대선전략 구체화,2021-05-05 18:17:00,cherl123,2021-05-06 04:34:22,"역대 대통령들 하루아침에 대통령된 사람 없다 , 군사정권 말고는,
대통령 자리를 그저 날로 먹으려 하는구나, 사법고시 9수, 대통령도 9수 정도는 해야지 ,
열공? ㅋ ㅋ ㅋ 대통령 자리가
하루아침에 공부해서 될 자리 더냐?"
윤석열은 정책 열공중…안철수는 野통합과 대선전략 구체화,2021-05-05 18:17:00,정의롭고공정한국가를되찾자,2021-05-05 23:32:41,"안철수가 무신 대선전략을 고민하나?

지지율이 몇%인데? 정말 문제많은 인간이네."
윤석열 40.2% vs 이재명 37.4%…양자대결 오차내 접전,2021-05-12 10:22:00,동사랑,2021-05-12 15:34:08,"이해안된다. 윤석렬,이재명 대통후보 이름나오는게
국민을 뭐로 아냐?"
윤석열 40.2% vs 이재명 37.4%…양자대결 오차내 접전,2021-05-12 10:22:00,킬리만,2021-05-12 14:42:28,천명 중 전라도 지역을 300명 쯤으로 했으면 재맹이가 단연 앞설텐디 한길리서치가 조사를 잘못혀서 이리 되었다. 앞으로는 졸라민국 조사대상 늘려라..재맹이 바람들어가게..헛꿈이라고 꿔야자나..
윤석열 40.2% vs 이재명 37.4%…양자대결 오차내 접전,2021-05-12 10:22:00,대필,2021-05-12 12:35:00,"37.4%? 제발 쌍욕하는 것 유트브 좀 찾아서 봐라,저것 지지자들아,그러고도 지지하면 인증이 되지.개돼지만도 못하다는 것을."
윤석열 40.2% vs 이재명 37.4%…양자대결 오차내 접전,2021-05-12 10:22:00,훈요십조,2021-05-12 12:22:50,"현재의 우리나라는 새롭게 국가를 세워야 할 정도로
국가경영시스템이 망가져있다! 공산당추종종자몇넘이 국가를 완전히
개판으로 만들어 놓았다!
건국정신으로 국가를 정리해야 될 상황이다!
제일은 법치다! 윤 석 렬 전총장이 대통령이 되어서 개국의 정신으로 국가에 봉사하시길"
윤석열 40.2% vs 이재명 37.4%…양자대결 오차내 접전,2021-05-12 10:22:00,나다,2021-05-12 11:10:49,보수입장에서는 이나땡이지...
"김종인 “윤석열, 새 정치세력 구축 필요” 국민의힘 “金 대선 주도권 쥐려해”",2021-05-03 03:00:00,전태환,2021-05-04 01:43:29,"종인할배요 이제고마돌아다니소 집에가서 손자나
손녀나보고 그라지 뭐할라꼬 여기저기 돌아다니면서
배나라 감나라하는지 노욕 노욕 간섭 간섭 이제고마
하고 집에가서 잠이나뒤집어소 하는짖 정말 꼴
보기싫타 기웃 기웃 철새 철새 종인할배~"
"김종인 “윤석열, 새 정치세력 구축 필요” 국민의힘 “金 대선 주도권 쥐려해”",2021-05-03 03:00:00,Yrp0663,2021-05-03 12:12:36,"닥치고, 좀들어가라, 이 노회한 사람아, 언제 철들려고?"
"김종인 “윤석열, 새 정치세력 구축 필요” 국민의힘 “金 대선 주도권 쥐려해”",2021-05-03 03:00:00,주황색,2021-05-03 12:10:43,불평도 많이 하시는데 지난번에 민주당을 똑바로세워 현정권 초석을 다져주었고 근자에는 국민의힘을 도와서 야권서울시장를 뽑는데 기여한 이른바 주식회사 대통령공장장 대표이사가 다음 대선후보 물색하는건 당연지사라 봐집니다.
"김종인 “윤석열, 새 정치세력 구축 필요” 국민의힘 “金 대선 주도권 쥐려해”",2021-05-03 03:00:00,주황색,2021-05-03 11:58:38,"여.야의 정치판이 아직도 서투르니 담대하고 통이 큰
정치대선배 김종인 전 대표는 한국의 정치적 보배라고
봅니다. 누가하던 정치계 발전을 꾀한다면 그것이 국리민복 아닐까요.. ?"
"김종인 “윤석열, 새 정치세력 구축 필요” 국민의힘 “金 대선 주도권 쥐려해”",2021-05-03 03:00:00,piggy,2021-05-03 11:32:08,마크롱 프랑스대통령의 경우를 말하는것 같은데 프랑스방식이 한국에서도 통할지는 알 수 없다. 김 전위원장 당신도 제3지대에서 성공한 경우가 없다고 하지 않았나. 마크롱방식이 성공하려면 문정권이 아주 폭망해야 한다. 마치 김영삼정권 시절 IMF외환위기가 닥친것처럼...
