제목,날짜,작성일,작성자,댓글
"대선 준비 유승민 “윤석열, 朴 징역 30년 구형 과했다”",2021-04-08 19:11:00,2021-05-02 10:20:28,bcg7****,숨은 골통좌파
"대선 준비 유승민 “윤석열, 朴 징역 30년 구형 과했다”",2021-04-08 19:11:00,2021-04-11 12:32:38,김****,유전의원 님 국민들이 이렇게 힘든원인을 한번이라도 생각한적있나요 문대통령정권때문힘든것은 국민들은 알지만 유전의원 김무성전의원 두사람때문에 이런결과을 나온것은책임져야합니다 두분이또 대선에 관여 하다든지 국민의힘에 다시들어와서 당권 대선에 가입하면 국민들은 국민의힘 대선후보자을 찍지 않고 현여당을찍을것니. 제발 두사랑만 정치적발언등 국민앞에 나서지마시는것이국민을 도와주는것고 반대로 또 이상한얘기하면 문통령을 도와주는것아는분들이 왜 자꾸 이사먜기 하는지이해가 안됑 아니면 두분 여당 에 당원되서 얘기 하면 딱어울리는분들입니다
"대선 준비 유승민 “윤석열, 朴 징역 30년 구형 과했다”",2021-04-08 19:11:00,2021-04-09 19:46:03,yot8****,"버러지같은 틀딱 노친네들 발작버튼 눌려서 개나발 불고 자빠졌네...ㅋㅋㅋㅋㅋ 유승민은 유일하게 젊은세력도 아우르며 보수를 미래로 잇고 진보꼴통들을 원론가치로 찍어누를 수 있는 인물인데, 이런식으로 지들 미래를 뭉게고 앉았네... 그냥 도태되서 죽어라. 니들은 희망이 없다. 걍 뒤져."
"대선 준비 유승민 “윤석열, 朴 징역 30년 구형 과했다”",2021-04-08 19:11:00,2021-04-09 13:49:25,인****,🐕 자식 병주고 약주나? 박근혜대통령님 을 위하는척 하지마라 촉새같은 주둥이 를 그냥 열지말고 닫고있어라너에게 관심있는 국민몇명없다
"대선 준비 유승민 “윤석열, 朴 징역 30년 구형 과했다”",2021-04-08 19:11:00,2021-04-09 13:48:26,yho9****,유승민은 의원도 아닌데 의원보다 더 뉴스에 나오는 이유?
"대선 준비 유승민 “윤석열, 朴 징역 30년 구형 과했다”",2021-04-08 19:11:00,2021-04-09 13:27:35,이****,배신이 정치적 소신이라 ! 계속 배신하구 살어라 입술이 배신 관상여 !
"대선 준비 유승민 “윤석열, 朴 징역 30년 구형 과했다”",2021-04-08 19:11:00,2021-04-09 13:21:36,Pete****,그냥 박근혜 전대통령 사면을 문대통령에게 권하면 될것을 왜? 윤석렬한테 돌리나요ㅠㅠ
"대선 준비 유승민 “윤석열, 朴 징역 30년 구형 과했다”",2021-04-08 19:11:00,2021-04-09 13:18:52,Pete****,엥 유승민 왜그래요??? 전 여태 유승민씨 좋게 봣는데 갑자기 극우지지자들 좋아하는 발언하시다니?? 이 어찌된 일이요ㅠㅠ
"대선 준비 유승민 “윤석열, 朴 징역 30년 구형 과했다”",2021-04-08 19:11:00,2021-04-09 12:55:15,ys12****,"촛불이 누구땜에 나와서, 적폐가 되었는고 ? 박근혜와 박근혜소속당 아니요? 그냥 자숙하시던지, 찌그러저 있던지, 하시오 . 윤석열 왜곡 하지말고................"
"대선 준비 유승민 “윤석열, 朴 징역 30년 구형 과했다”",2021-04-08 19:11:00,2021-04-09 11:41:51,jeon****,윤석열도 🐕 자식이만 유승민은 역적이다 조선시대같앗으면 3족을멸햇다
